CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
akara_neutral,akara_neutral,1,0,338,584,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,26,73
0,0,26,73,,,
26,0,52,73,,,
52,0,78,73,,,
78,0,104,73,,,
104,0,130,73,,,
130,0,156,73,,,
156,0,182,73,,,
182,0,208,73,,,
208,0,234,73,,,
234,0,260,73,,,
260,0,286,73,,,
286,0,312,73,,,
312,0,338,73,,,
0,73,26,146,,,
26,73,52,146,,,
52,73,78,146,,,
78,73,104,146,,,
104,73,130,146,,,
130,73,156,146,,,
156,73,182,146,,,
182,73,208,146,,,
208,73,234,146,,,
234,73,260,146,,,
260,73,286,146,,,
286,73,312,146,,,
312,73,338,146,,,
0,146,26,219,,,
26,146,52,219,,,
52,146,78,219,,,
78,146,104,219,,,
104,146,130,219,,,
130,146,156,219,,,
156,146,182,219,,,
182,146,208,219,,,
208,146,234,219,,,
234,146,260,219,,,
260,146,286,219,,,
286,146,312,219,,,
312,146,338,219,,,
0,219,26,292,,,
26,219,52,292,,,
52,219,78,292,,,
78,219,104,292,,,
104,219,130,292,,,
130,219,156,292,,,
156,219,182,292,,,
182,219,208,292,,,
208,219,234,292,,,
234,219,260,292,,,
260,219,286,292,,,
286,219,312,292,,,
312,219,338,292,,,
0,292,26,365,,,
26,292,52,365,,,
52,292,78,365,,,
78,292,104,365,,,
104,292,130,365,,,
130,292,156,365,,,
156,292,182,365,,,
182,292,208,365,,,
208,292,234,365,,,
234,292,260,365,,,
260,292,286,365,,,
286,292,312,365,,,
312,292,338,365,,,
0,365,26,438,,,
26,365,52,438,,,
52,365,78,438,,,
78,365,104,438,,,
104,365,130,438,,,
130,365,156,438,,,
156,365,182,438,,,
182,365,208,438,,,
208,365,234,438,,,
234,365,260,438,,,
260,365,286,438,,,
286,365,312,438,,,
312,365,338,438,,,
0,438,26,511,,,
26,438,52,511,,,
52,438,78,511,,,
78,438,104,511,,,
104,438,130,511,,,
130,438,156,511,,,
156,438,182,511,,,
182,438,208,511,,,
208,438,234,511,,,
234,438,260,511,,,
260,438,286,511,,,
286,438,312,511,,,
312,438,338,511,,,
0,511,26,584,,,
26,511,52,584,,,
52,511,78,584,,,
78,511,104,584,,,
104,511,130,584,,,
130,511,156,584,,,
156,511,182,584,,,
182,511,208,584,,,
208,511,234,584,,,
234,511,260,584,,,
260,511,286,584,,,
286,511,312,584,,,
312,511,338,584,,,
