CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
akara_walk,akara_walk,1,0,224,592,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,28,74
0,0,28,74,,,
28,0,56,74,,,
56,0,84,74,,,
84,0,112,74,,,
112,0,140,74,,,
140,0,168,74,,,
168,0,196,74,,,
196,0,224,74,,,
0,74,28,148,,,
28,74,56,148,,,
56,74,84,148,,,
84,74,112,148,,,
112,74,140,148,,,
140,74,168,148,,,
168,74,196,148,,,
196,74,224,148,,,
0,148,28,222,,,
28,148,56,222,,,
56,148,84,222,,,
84,148,112,222,,,
112,148,140,222,,,
140,148,168,222,,,
168,148,196,222,,,
196,148,224,222,,,
0,222,28,296,,,
28,222,56,296,,,
56,222,84,296,,,
84,222,112,296,,,
112,222,140,296,,,
140,222,168,296,,,
168,222,196,296,,,
196,222,224,296,,,
0,296,28,370,,,
28,296,56,370,,,
56,296,84,370,,,
84,296,112,370,,,
112,296,140,370,,,
140,296,168,370,,,
168,296,196,370,,,
196,296,224,370,,,
0,370,28,444,,,
28,370,56,444,,,
56,370,84,444,,,
84,370,112,444,,,
112,370,140,444,,,
140,370,168,444,,,
168,370,196,444,,,
196,370,224,444,,,
0,444,28,518,,,
28,444,56,518,,,
56,444,84,518,,,
84,444,112,518,,,
112,444,140,518,,,
140,444,168,518,,,
168,444,196,518,,,
196,444,224,518,,,
0,518,28,592,,,
28,518,56,592,,,
56,518,84,592,,,
84,518,112,592,,,
112,518,140,592,,,
140,518,168,592,,,
168,518,196,592,,,
196,518,224,592,,,
