CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
amazon_attack1,amazon_attack1,1,0,1190,1680,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,85,105
0,0,85,105,,,
85,0,170,105,,,
170,0,255,105,,,
255,0,340,105,,,
340,0,425,105,,,
425,0,510,105,,,
510,0,595,105,,,
595,0,680,105,,,
680,0,765,105,,,
765,0,850,105,,,
850,0,935,105,,,
935,0,1020,105,,,
1020,0,1105,105,,,
1105,0,1190,105,,,
0,105,85,210,,,
85,105,170,210,,,
170,105,255,210,,,
255,105,340,210,,,
340,105,425,210,,,
425,105,510,210,,,
510,105,595,210,,,
595,105,680,210,,,
680,105,765,210,,,
765,105,850,210,,,
850,105,935,210,,,
935,105,1020,210,,,
1020,105,1105,210,,,
1105,105,1190,210,,,
0,210,85,315,,,
85,210,170,315,,,
170,210,255,315,,,
255,210,340,315,,,
340,210,425,315,,,
425,210,510,315,,,
510,210,595,315,,,
595,210,680,315,,,
680,210,765,315,,,
765,210,850,315,,,
850,210,935,315,,,
935,210,1020,315,,,
1020,210,1105,315,,,
1105,210,1190,315,,,
0,315,85,420,,,
85,315,170,420,,,
170,315,255,420,,,
255,315,340,420,,,
340,315,425,420,,,
425,315,510,420,,,
510,315,595,420,,,
595,315,680,420,,,
680,315,765,420,,,
765,315,850,420,,,
850,315,935,420,,,
935,315,1020,420,,,
1020,315,1105,420,,,
1105,315,1190,420,,,
0,420,85,525,,,
85,420,170,525,,,
170,420,255,525,,,
255,420,340,525,,,
340,420,425,525,,,
425,420,510,525,,,
510,420,595,525,,,
595,420,680,525,,,
680,420,765,525,,,
765,420,850,525,,,
850,420,935,525,,,
935,420,1020,525,,,
1020,420,1105,525,,,
1105,420,1190,525,,,
0,525,85,630,,,
85,525,170,630,,,
170,525,255,630,,,
255,525,340,630,,,
340,525,425,630,,,
425,525,510,630,,,
510,525,595,630,,,
595,525,680,630,,,
680,525,765,630,,,
765,525,850,630,,,
850,525,935,630,,,
935,525,1020,630,,,
1020,525,1105,630,,,
1105,525,1190,630,,,
0,630,85,735,,,
85,630,170,735,,,
170,630,255,735,,,
255,630,340,735,,,
340,630,425,735,,,
425,630,510,735,,,
510,630,595,735,,,
595,630,680,735,,,
680,630,765,735,,,
765,630,850,735,,,
850,630,935,735,,,
935,630,1020,735,,,
1020,630,1105,735,,,
1105,630,1190,735,,,
0,735,85,840,,,
85,735,170,840,,,
170,735,255,840,,,
255,735,340,840,,,
340,735,425,840,,,
425,735,510,840,,,
510,735,595,840,,,
595,735,680,840,,,
680,735,765,840,,,
765,735,850,840,,,
850,735,935,840,,,
935,735,1020,840,,,
1020,735,1105,840,,,
1105,735,1190,840,,,
0,840,85,945,,,
85,840,170,945,,,
170,840,255,945,,,
255,840,340,945,,,
340,840,425,945,,,
425,840,510,945,,,
510,840,595,945,,,
595,840,680,945,,,
680,840,765,945,,,
765,840,850,945,,,
850,840,935,945,,,
935,840,1020,945,,,
1020,840,1105,945,,,
1105,840,1190,945,,,
0,945,85,1050,,,
85,945,170,1050,,,
170,945,255,1050,,,
255,945,340,1050,,,
340,945,425,1050,,,
425,945,510,1050,,,
510,945,595,1050,,,
595,945,680,1050,,,
680,945,765,1050,,,
765,945,850,1050,,,
850,945,935,1050,,,
935,945,1020,1050,,,
1020,945,1105,1050,,,
1105,945,1190,1050,,,
0,1050,85,1155,,,
85,1050,170,1155,,,
170,1050,255,1155,,,
255,1050,340,1155,,,
340,1050,425,1155,,,
425,1050,510,1155,,,
510,1050,595,1155,,,
595,1050,680,1155,,,
680,1050,765,1155,,,
765,1050,850,1155,,,
850,1050,935,1155,,,
935,1050,1020,1155,,,
1020,1050,1105,1155,,,
1105,1050,1190,1155,,,
0,1155,85,1260,,,
85,1155,170,1260,,,
170,1155,255,1260,,,
255,1155,340,1260,,,
340,1155,425,1260,,,
425,1155,510,1260,,,
510,1155,595,1260,,,
595,1155,680,1260,,,
680,1155,765,1260,,,
765,1155,850,1260,,,
850,1155,935,1260,,,
935,1155,1020,1260,,,
1020,1155,1105,1260,,,
1105,1155,1190,1260,,,
0,1260,85,1365,,,
85,1260,170,1365,,,
170,1260,255,1365,,,
255,1260,340,1365,,,
340,1260,425,1365,,,
425,1260,510,1365,,,
510,1260,595,1365,,,
595,1260,680,1365,,,
680,1260,765,1365,,,
765,1260,850,1365,,,
850,1260,935,1365,,,
935,1260,1020,1365,,,
1020,1260,1105,1365,,,
1105,1260,1190,1365,,,
0,1365,85,1470,,,
85,1365,170,1470,,,
170,1365,255,1470,,,
255,1365,340,1470,,,
340,1365,425,1470,,,
425,1365,510,1470,,,
510,1365,595,1470,,,
595,1365,680,1470,,,
680,1365,765,1470,,,
765,1365,850,1470,,,
850,1365,935,1470,,,
935,1365,1020,1470,,,
1020,1365,1105,1470,,,
1105,1365,1190,1470,,,
0,1470,85,1575,,,
85,1470,170,1575,,,
170,1470,255,1575,,,
255,1470,340,1575,,,
340,1470,425,1575,,,
425,1470,510,1575,,,
510,1470,595,1575,,,
595,1470,680,1575,,,
680,1470,765,1575,,,
765,1470,850,1575,,,
850,1470,935,1575,,,
935,1470,1020,1575,,,
1020,1470,1105,1575,,,
1105,1470,1190,1575,,,
0,1575,85,1680,,,
85,1575,170,1680,,,
170,1575,255,1680,,,
255,1575,340,1680,,,
340,1575,425,1680,,,
425,1575,510,1680,,,
510,1575,595,1680,,,
595,1575,680,1680,,,
680,1575,765,1680,,,
765,1575,850,1680,,,
850,1575,935,1680,,,
935,1575,1020,1680,,,
1020,1575,1105,1680,,,
1105,1575,1190,1680,,,
