CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
amazon_get_hit,amazon_get_hit,1,0,456,1488,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,76,93
0,0,76,93,,,
76,0,152,93,,,
152,0,228,93,,,
228,0,304,93,,,
304,0,380,93,,,
380,0,456,93,,,
0,93,76,186,,,
76,93,152,186,,,
152,93,228,186,,,
228,93,304,186,,,
304,93,380,186,,,
380,93,456,186,,,
0,186,76,279,,,
76,186,152,279,,,
152,186,228,279,,,
228,186,304,279,,,
304,186,380,279,,,
380,186,456,279,,,
0,279,76,372,,,
76,279,152,372,,,
152,279,228,372,,,
228,279,304,372,,,
304,279,380,372,,,
380,279,456,372,,,
0,372,76,465,,,
76,372,152,465,,,
152,372,228,465,,,
228,372,304,465,,,
304,372,380,465,,,
380,372,456,465,,,
0,465,76,558,,,
76,465,152,558,,,
152,465,228,558,,,
228,465,304,558,,,
304,465,380,558,,,
380,465,456,558,,,
0,558,76,651,,,
76,558,152,651,,,
152,558,228,651,,,
228,558,304,651,,,
304,558,380,651,,,
380,558,456,651,,,
0,651,76,744,,,
76,651,152,744,,,
152,651,228,744,,,
228,651,304,744,,,
304,651,380,744,,,
380,651,456,744,,,
0,744,76,837,,,
76,744,152,837,,,
152,744,228,837,,,
228,744,304,837,,,
304,744,380,837,,,
380,744,456,837,,,
0,837,76,930,,,
76,837,152,930,,,
152,837,228,930,,,
228,837,304,930,,,
304,837,380,930,,,
380,837,456,930,,,
0,930,76,1023,,,
76,930,152,1023,,,
152,930,228,1023,,,
228,930,304,1023,,,
304,930,380,1023,,,
380,930,456,1023,,,
0,1023,76,1116,,,
76,1023,152,1116,,,
152,1023,228,1116,,,
228,1023,304,1116,,,
304,1023,380,1116,,,
380,1023,456,1116,,,
0,1116,76,1209,,,
76,1116,152,1209,,,
152,1116,228,1209,,,
228,1116,304,1209,,,
304,1116,380,1209,,,
380,1116,456,1209,,,
0,1209,76,1302,,,
76,1209,152,1302,,,
152,1209,228,1302,,,
228,1209,304,1302,,,
304,1209,380,1302,,,
380,1209,456,1302,,,
0,1302,76,1395,,,
76,1302,152,1395,,,
152,1302,228,1395,,,
228,1302,304,1395,,,
304,1302,380,1395,,,
380,1302,456,1395,,,
0,1395,76,1488,,,
76,1395,152,1488,,,
152,1395,228,1488,,,
228,1395,304,1488,,,
304,1395,380,1488,,,
380,1395,456,1488,,,
