CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
amazon_neutral,amazon_neutral,1,0,1216,1280,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,76,80
0,0,76,80,,,
76,0,152,80,,,
152,0,228,80,,,
228,0,304,80,,,
304,0,380,80,,,
380,0,456,80,,,
456,0,532,80,,,
532,0,608,80,,,
608,0,684,80,,,
684,0,760,80,,,
760,0,836,80,,,
836,0,912,80,,,
912,0,988,80,,,
988,0,1064,80,,,
1064,0,1140,80,,,
1140,0,1216,80,,,
0,80,76,160,,,
76,80,152,160,,,
152,80,228,160,,,
228,80,304,160,,,
304,80,380,160,,,
380,80,456,160,,,
456,80,532,160,,,
532,80,608,160,,,
608,80,684,160,,,
684,80,760,160,,,
760,80,836,160,,,
836,80,912,160,,,
912,80,988,160,,,
988,80,1064,160,,,
1064,80,1140,160,,,
1140,80,1216,160,,,
0,160,76,240,,,
76,160,152,240,,,
152,160,228,240,,,
228,160,304,240,,,
304,160,380,240,,,
380,160,456,240,,,
456,160,532,240,,,
532,160,608,240,,,
608,160,684,240,,,
684,160,760,240,,,
760,160,836,240,,,
836,160,912,240,,,
912,160,988,240,,,
988,160,1064,240,,,
1064,160,1140,240,,,
1140,160,1216,240,,,
0,240,76,320,,,
76,240,152,320,,,
152,240,228,320,,,
228,240,304,320,,,
304,240,380,320,,,
380,240,456,320,,,
456,240,532,320,,,
532,240,608,320,,,
608,240,684,320,,,
684,240,760,320,,,
760,240,836,320,,,
836,240,912,320,,,
912,240,988,320,,,
988,240,1064,320,,,
1064,240,1140,320,,,
1140,240,1216,320,,,
0,320,76,400,,,
76,320,152,400,,,
152,320,228,400,,,
228,320,304,400,,,
304,320,380,400,,,
380,320,456,400,,,
456,320,532,400,,,
532,320,608,400,,,
608,320,684,400,,,
684,320,760,400,,,
760,320,836,400,,,
836,320,912,400,,,
912,320,988,400,,,
988,320,1064,400,,,
1064,320,1140,400,,,
1140,320,1216,400,,,
0,400,76,480,,,
76,400,152,480,,,
152,400,228,480,,,
228,400,304,480,,,
304,400,380,480,,,
380,400,456,480,,,
456,400,532,480,,,
532,400,608,480,,,
608,400,684,480,,,
684,400,760,480,,,
760,400,836,480,,,
836,400,912,480,,,
912,400,988,480,,,
988,400,1064,480,,,
1064,400,1140,480,,,
1140,400,1216,480,,,
0,480,76,560,,,
76,480,152,560,,,
152,480,228,560,,,
228,480,304,560,,,
304,480,380,560,,,
380,480,456,560,,,
456,480,532,560,,,
532,480,608,560,,,
608,480,684,560,,,
684,480,760,560,,,
760,480,836,560,,,
836,480,912,560,,,
912,480,988,560,,,
988,480,1064,560,,,
1064,480,1140,560,,,
1140,480,1216,560,,,
0,560,76,640,,,
76,560,152,640,,,
152,560,228,640,,,
228,560,304,640,,,
304,560,380,640,,,
380,560,456,640,,,
456,560,532,640,,,
532,560,608,640,,,
608,560,684,640,,,
684,560,760,640,,,
760,560,836,640,,,
836,560,912,640,,,
912,560,988,640,,,
988,560,1064,640,,,
1064,560,1140,640,,,
1140,560,1216,640,,,
0,640,76,720,,,
76,640,152,720,,,
152,640,228,720,,,
228,640,304,720,,,
304,640,380,720,,,
380,640,456,720,,,
456,640,532,720,,,
532,640,608,720,,,
608,640,684,720,,,
684,640,760,720,,,
760,640,836,720,,,
836,640,912,720,,,
912,640,988,720,,,
988,640,1064,720,,,
1064,640,1140,720,,,
1140,640,1216,720,,,
0,720,76,800,,,
76,720,152,800,,,
152,720,228,800,,,
228,720,304,800,,,
304,720,380,800,,,
380,720,456,800,,,
456,720,532,800,,,
532,720,608,800,,,
608,720,684,800,,,
684,720,760,800,,,
760,720,836,800,,,
836,720,912,800,,,
912,720,988,800,,,
988,720,1064,800,,,
1064,720,1140,800,,,
1140,720,1216,800,,,
0,800,76,880,,,
76,800,152,880,,,
152,800,228,880,,,
228,800,304,880,,,
304,800,380,880,,,
380,800,456,880,,,
456,800,532,880,,,
532,800,608,880,,,
608,800,684,880,,,
684,800,760,880,,,
760,800,836,880,,,
836,800,912,880,,,
912,800,988,880,,,
988,800,1064,880,,,
1064,800,1140,880,,,
1140,800,1216,880,,,
0,880,76,960,,,
76,880,152,960,,,
152,880,228,960,,,
228,880,304,960,,,
304,880,380,960,,,
380,880,456,960,,,
456,880,532,960,,,
532,880,608,960,,,
608,880,684,960,,,
684,880,760,960,,,
760,880,836,960,,,
836,880,912,960,,,
912,880,988,960,,,
988,880,1064,960,,,
1064,880,1140,960,,,
1140,880,1216,960,,,
0,960,76,1040,,,
76,960,152,1040,,,
152,960,228,1040,,,
228,960,304,1040,,,
304,960,380,1040,,,
380,960,456,1040,,,
456,960,532,1040,,,
532,960,608,1040,,,
608,960,684,1040,,,
684,960,760,1040,,,
760,960,836,1040,,,
836,960,912,1040,,,
912,960,988,1040,,,
988,960,1064,1040,,,
1064,960,1140,1040,,,
1140,960,1216,1040,,,
0,1040,76,1120,,,
76,1040,152,1120,,,
152,1040,228,1120,,,
228,1040,304,1120,,,
304,1040,380,1120,,,
380,1040,456,1120,,,
456,1040,532,1120,,,
532,1040,608,1120,,,
608,1040,684,1120,,,
684,1040,760,1120,,,
760,1040,836,1120,,,
836,1040,912,1120,,,
912,1040,988,1120,,,
988,1040,1064,1120,,,
1064,1040,1140,1120,,,
1140,1040,1216,1120,,,
0,1120,76,1200,,,
76,1120,152,1200,,,
152,1120,228,1200,,,
228,1120,304,1200,,,
304,1120,380,1200,,,
380,1120,456,1200,,,
456,1120,532,1200,,,
532,1120,608,1200,,,
608,1120,684,1200,,,
684,1120,760,1200,,,
760,1120,836,1200,,,
836,1120,912,1200,,,
912,1120,988,1200,,,
988,1120,1064,1200,,,
1064,1120,1140,1200,,,
1140,1120,1216,1200,,,
0,1200,76,1280,,,
76,1200,152,1280,,,
152,1200,228,1280,,,
228,1200,304,1280,,,
304,1200,380,1280,,,
380,1200,456,1280,,,
456,1200,532,1280,,,
532,1200,608,1280,,,
608,1200,684,1280,,,
684,1200,760,1280,,,
760,1200,836,1280,,,
836,1200,912,1280,,,
912,1200,988,1280,,,
988,1200,1064,1280,,,
1064,1200,1140,1280,,,
1140,1200,1216,1280,,,
