CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
amazon_run,amazon_run,1,0,704,1312,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,88,82
0,0,88,82,,,
88,0,176,82,,,
176,0,264,82,,,
264,0,352,82,,,
352,0,440,82,,,
440,0,528,82,,,
528,0,616,82,,,
616,0,704,82,,,
0,82,88,164,,,
88,82,176,164,,,
176,82,264,164,,,
264,82,352,164,,,
352,82,440,164,,,
440,82,528,164,,,
528,82,616,164,,,
616,82,704,164,,,
0,164,88,246,,,
88,164,176,246,,,
176,164,264,246,,,
264,164,352,246,,,
352,164,440,246,,,
440,164,528,246,,,
528,164,616,246,,,
616,164,704,246,,,
0,246,88,328,,,
88,246,176,328,,,
176,246,264,328,,,
264,246,352,328,,,
352,246,440,328,,,
440,246,528,328,,,
528,246,616,328,,,
616,246,704,328,,,
0,328,88,410,,,
88,328,176,410,,,
176,328,264,410,,,
264,328,352,410,,,
352,328,440,410,,,
440,328,528,410,,,
528,328,616,410,,,
616,328,704,410,,,
0,410,88,492,,,
88,410,176,492,,,
176,410,264,492,,,
264,410,352,492,,,
352,410,440,492,,,
440,410,528,492,,,
528,410,616,492,,,
616,410,704,492,,,
0,492,88,574,,,
88,492,176,574,,,
176,492,264,574,,,
264,492,352,574,,,
352,492,440,574,,,
440,492,528,574,,,
528,492,616,574,,,
616,492,704,574,,,
0,574,88,656,,,
88,574,176,656,,,
176,574,264,656,,,
264,574,352,656,,,
352,574,440,656,,,
440,574,528,656,,,
528,574,616,656,,,
616,574,704,656,,,
0,656,88,738,,,
88,656,176,738,,,
176,656,264,738,,,
264,656,352,738,,,
352,656,440,738,,,
440,656,528,738,,,
528,656,616,738,,,
616,656,704,738,,,
0,738,88,820,,,
88,738,176,820,,,
176,738,264,820,,,
264,738,352,820,,,
352,738,440,820,,,
440,738,528,820,,,
528,738,616,820,,,
616,738,704,820,,,
0,820,88,902,,,
88,820,176,902,,,
176,820,264,902,,,
264,820,352,902,,,
352,820,440,902,,,
440,820,528,902,,,
528,820,616,902,,,
616,820,704,902,,,
0,902,88,984,,,
88,902,176,984,,,
176,902,264,984,,,
264,902,352,984,,,
352,902,440,984,,,
440,902,528,984,,,
528,902,616,984,,,
616,902,704,984,,,
0,984,88,1066,,,
88,984,176,1066,,,
176,984,264,1066,,,
264,984,352,1066,,,
352,984,440,1066,,,
440,984,528,1066,,,
528,984,616,1066,,,
616,984,704,1066,,,
0,1066,88,1148,,,
88,1066,176,1148,,,
176,1066,264,1148,,,
264,1066,352,1148,,,
352,1066,440,1148,,,
440,1066,528,1148,,,
528,1066,616,1148,,,
616,1066,704,1148,,,
0,1148,88,1230,,,
88,1148,176,1230,,,
176,1148,264,1230,,,
264,1148,352,1230,,,
352,1148,440,1230,,,
440,1148,528,1230,,,
528,1148,616,1230,,,
616,1148,704,1230,,,
0,1230,88,1312,,,
88,1230,176,1312,,,
176,1230,264,1312,,,
264,1230,352,1312,,,
352,1230,440,1312,,,
440,1230,528,1312,,,
528,1230,616,1312,,,
616,1230,704,1312,,,
