CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
amazon_special1,amazon_special1,1,0,1089,1376,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,121,86
0,0,121,86,,,
121,0,242,86,,,
242,0,363,86,,,
363,0,484,86,,,
484,0,605,86,,,
605,0,726,86,,,
726,0,847,86,,,
847,0,968,86,,,
968,0,1089,86,,,
0,86,121,172,,,
121,86,242,172,,,
242,86,363,172,,,
363,86,484,172,,,
484,86,605,172,,,
605,86,726,172,,,
726,86,847,172,,,
847,86,968,172,,,
968,86,1089,172,,,
0,172,121,258,,,
121,172,242,258,,,
242,172,363,258,,,
363,172,484,258,,,
484,172,605,258,,,
605,172,726,258,,,
726,172,847,258,,,
847,172,968,258,,,
968,172,1089,258,,,
0,258,121,344,,,
121,258,242,344,,,
242,258,363,344,,,
363,258,484,344,,,
484,258,605,344,,,
605,258,726,344,,,
726,258,847,344,,,
847,258,968,344,,,
968,258,1089,344,,,
0,344,121,430,,,
121,344,242,430,,,
242,344,363,430,,,
363,344,484,430,,,
484,344,605,430,,,
605,344,726,430,,,
726,344,847,430,,,
847,344,968,430,,,
968,344,1089,430,,,
0,430,121,516,,,
121,430,242,516,,,
242,430,363,516,,,
363,430,484,516,,,
484,430,605,516,,,
605,430,726,516,,,
726,430,847,516,,,
847,430,968,516,,,
968,430,1089,516,,,
0,516,121,602,,,
121,516,242,602,,,
242,516,363,602,,,
363,516,484,602,,,
484,516,605,602,,,
605,516,726,602,,,
726,516,847,602,,,
847,516,968,602,,,
968,516,1089,602,,,
0,602,121,688,,,
121,602,242,688,,,
242,602,363,688,,,
363,602,484,688,,,
484,602,605,688,,,
605,602,726,688,,,
726,602,847,688,,,
847,602,968,688,,,
968,602,1089,688,,,
0,688,121,774,,,
121,688,242,774,,,
242,688,363,774,,,
363,688,484,774,,,
484,688,605,774,,,
605,688,726,774,,,
726,688,847,774,,,
847,688,968,774,,,
968,688,1089,774,,,
0,774,121,860,,,
121,774,242,860,,,
242,774,363,860,,,
363,774,484,860,,,
484,774,605,860,,,
605,774,726,860,,,
726,774,847,860,,,
847,774,968,860,,,
968,774,1089,860,,,
0,860,121,946,,,
121,860,242,946,,,
242,860,363,946,,,
363,860,484,946,,,
484,860,605,946,,,
605,860,726,946,,,
726,860,847,946,,,
847,860,968,946,,,
968,860,1089,946,,,
0,946,121,1032,,,
121,946,242,1032,,,
242,946,363,1032,,,
363,946,484,1032,,,
484,946,605,1032,,,
605,946,726,1032,,,
726,946,847,1032,,,
847,946,968,1032,,,
968,946,1089,1032,,,
0,1032,121,1118,,,
121,1032,242,1118,,,
242,1032,363,1118,,,
363,1032,484,1118,,,
484,1032,605,1118,,,
605,1032,726,1118,,,
726,1032,847,1118,,,
847,1032,968,1118,,,
968,1032,1089,1118,,,
0,1118,121,1204,,,
121,1118,242,1204,,,
242,1118,363,1204,,,
363,1118,484,1204,,,
484,1118,605,1204,,,
605,1118,726,1204,,,
726,1118,847,1204,,,
847,1118,968,1204,,,
968,1118,1089,1204,,,
0,1204,121,1290,,,
121,1204,242,1290,,,
242,1204,363,1290,,,
363,1204,484,1290,,,
484,1204,605,1290,,,
605,1204,726,1290,,,
726,1204,847,1290,,,
847,1204,968,1290,,,
968,1204,1089,1290,,,
0,1290,121,1376,,,
121,1290,242,1376,,,
242,1290,363,1376,,,
363,1290,484,1376,,,
484,1290,605,1376,,,
605,1290,726,1376,,,
726,1290,847,1376,,,
847,1290,968,1376,,,
968,1290,1089,1376,,,
