CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
amazon_special_cast,amazon_special_cast,1,0,1900,1760,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,95,110
0,0,95,110,,,
95,0,190,110,,,
190,0,285,110,,,
285,0,380,110,,,
380,0,475,110,,,
475,0,570,110,,,
570,0,665,110,,,
665,0,760,110,,,
760,0,855,110,,,
855,0,950,110,,,
950,0,1045,110,,,
1045,0,1140,110,,,
1140,0,1235,110,,,
1235,0,1330,110,,,
1330,0,1425,110,,,
1425,0,1520,110,,,
1520,0,1615,110,,,
1615,0,1710,110,,,
1710,0,1805,110,,,
1805,0,1900,110,,,
0,110,95,220,,,
95,110,190,220,,,
190,110,285,220,,,
285,110,380,220,,,
380,110,475,220,,,
475,110,570,220,,,
570,110,665,220,,,
665,110,760,220,,,
760,110,855,220,,,
855,110,950,220,,,
950,110,1045,220,,,
1045,110,1140,220,,,
1140,110,1235,220,,,
1235,110,1330,220,,,
1330,110,1425,220,,,
1425,110,1520,220,,,
1520,110,1615,220,,,
1615,110,1710,220,,,
1710,110,1805,220,,,
1805,110,1900,220,,,
0,220,95,330,,,
95,220,190,330,,,
190,220,285,330,,,
285,220,380,330,,,
380,220,475,330,,,
475,220,570,330,,,
570,220,665,330,,,
665,220,760,330,,,
760,220,855,330,,,
855,220,950,330,,,
950,220,1045,330,,,
1045,220,1140,330,,,
1140,220,1235,330,,,
1235,220,1330,330,,,
1330,220,1425,330,,,
1425,220,1520,330,,,
1520,220,1615,330,,,
1615,220,1710,330,,,
1710,220,1805,330,,,
1805,220,1900,330,,,
0,330,95,440,,,
95,330,190,440,,,
190,330,285,440,,,
285,330,380,440,,,
380,330,475,440,,,
475,330,570,440,,,
570,330,665,440,,,
665,330,760,440,,,
760,330,855,440,,,
855,330,950,440,,,
950,330,1045,440,,,
1045,330,1140,440,,,
1140,330,1235,440,,,
1235,330,1330,440,,,
1330,330,1425,440,,,
1425,330,1520,440,,,
1520,330,1615,440,,,
1615,330,1710,440,,,
1710,330,1805,440,,,
1805,330,1900,440,,,
0,440,95,550,,,
95,440,190,550,,,
190,440,285,550,,,
285,440,380,550,,,
380,440,475,550,,,
475,440,570,550,,,
570,440,665,550,,,
665,440,760,550,,,
760,440,855,550,,,
855,440,950,550,,,
950,440,1045,550,,,
1045,440,1140,550,,,
1140,440,1235,550,,,
1235,440,1330,550,,,
1330,440,1425,550,,,
1425,440,1520,550,,,
1520,440,1615,550,,,
1615,440,1710,550,,,
1710,440,1805,550,,,
1805,440,1900,550,,,
0,550,95,660,,,
95,550,190,660,,,
190,550,285,660,,,
285,550,380,660,,,
380,550,475,660,,,
475,550,570,660,,,
570,550,665,660,,,
665,550,760,660,,,
760,550,855,660,,,
855,550,950,660,,,
950,550,1045,660,,,
1045,550,1140,660,,,
1140,550,1235,660,,,
1235,550,1330,660,,,
1330,550,1425,660,,,
1425,550,1520,660,,,
1520,550,1615,660,,,
1615,550,1710,660,,,
1710,550,1805,660,,,
1805,550,1900,660,,,
0,660,95,770,,,
95,660,190,770,,,
190,660,285,770,,,
285,660,380,770,,,
380,660,475,770,,,
475,660,570,770,,,
570,660,665,770,,,
665,660,760,770,,,
760,660,855,770,,,
855,660,950,770,,,
950,660,1045,770,,,
1045,660,1140,770,,,
1140,660,1235,770,,,
1235,660,1330,770,,,
1330,660,1425,770,,,
1425,660,1520,770,,,
1520,660,1615,770,,,
1615,660,1710,770,,,
1710,660,1805,770,,,
1805,660,1900,770,,,
0,770,95,880,,,
95,770,190,880,,,
190,770,285,880,,,
285,770,380,880,,,
380,770,475,880,,,
475,770,570,880,,,
570,770,665,880,,,
665,770,760,880,,,
760,770,855,880,,,
855,770,950,880,,,
950,770,1045,880,,,
1045,770,1140,880,,,
1140,770,1235,880,,,
1235,770,1330,880,,,
1330,770,1425,880,,,
1425,770,1520,880,,,
1520,770,1615,880,,,
1615,770,1710,880,,,
1710,770,1805,880,,,
1805,770,1900,880,,,
0,880,95,990,,,
95,880,190,990,,,
190,880,285,990,,,
285,880,380,990,,,
380,880,475,990,,,
475,880,570,990,,,
570,880,665,990,,,
665,880,760,990,,,
760,880,855,990,,,
855,880,950,990,,,
950,880,1045,990,,,
1045,880,1140,990,,,
1140,880,1235,990,,,
1235,880,1330,990,,,
1330,880,1425,990,,,
1425,880,1520,990,,,
1520,880,1615,990,,,
1615,880,1710,990,,,
1710,880,1805,990,,,
1805,880,1900,990,,,
0,990,95,1100,,,
95,990,190,1100,,,
190,990,285,1100,,,
285,990,380,1100,,,
380,990,475,1100,,,
475,990,570,1100,,,
570,990,665,1100,,,
665,990,760,1100,,,
760,990,855,1100,,,
855,990,950,1100,,,
950,990,1045,1100,,,
1045,990,1140,1100,,,
1140,990,1235,1100,,,
1235,990,1330,1100,,,
1330,990,1425,1100,,,
1425,990,1520,1100,,,
1520,990,1615,1100,,,
1615,990,1710,1100,,,
1710,990,1805,1100,,,
1805,990,1900,1100,,,
0,1100,95,1210,,,
95,1100,190,1210,,,
190,1100,285,1210,,,
285,1100,380,1210,,,
380,1100,475,1210,,,
475,1100,570,1210,,,
570,1100,665,1210,,,
665,1100,760,1210,,,
760,1100,855,1210,,,
855,1100,950,1210,,,
950,1100,1045,1210,,,
1045,1100,1140,1210,,,
1140,1100,1235,1210,,,
1235,1100,1330,1210,,,
1330,1100,1425,1210,,,
1425,1100,1520,1210,,,
1520,1100,1615,1210,,,
1615,1100,1710,1210,,,
1710,1100,1805,1210,,,
1805,1100,1900,1210,,,
0,1210,95,1320,,,
95,1210,190,1320,,,
190,1210,285,1320,,,
285,1210,380,1320,,,
380,1210,475,1320,,,
475,1210,570,1320,,,
570,1210,665,1320,,,
665,1210,760,1320,,,
760,1210,855,1320,,,
855,1210,950,1320,,,
950,1210,1045,1320,,,
1045,1210,1140,1320,,,
1140,1210,1235,1320,,,
1235,1210,1330,1320,,,
1330,1210,1425,1320,,,
1425,1210,1520,1320,,,
1520,1210,1615,1320,,,
1615,1210,1710,1320,,,
1710,1210,1805,1320,,,
1805,1210,1900,1320,,,
0,1320,95,1430,,,
95,1320,190,1430,,,
190,1320,285,1430,,,
285,1320,380,1430,,,
380,1320,475,1430,,,
475,1320,570,1430,,,
570,1320,665,1430,,,
665,1320,760,1430,,,
760,1320,855,1430,,,
855,1320,950,1430,,,
950,1320,1045,1430,,,
1045,1320,1140,1430,,,
1140,1320,1235,1430,,,
1235,1320,1330,1430,,,
1330,1320,1425,1430,,,
1425,1320,1520,1430,,,
1520,1320,1615,1430,,,
1615,1320,1710,1430,,,
1710,1320,1805,1430,,,
1805,1320,1900,1430,,,
0,1430,95,1540,,,
95,1430,190,1540,,,
190,1430,285,1540,,,
285,1430,380,1540,,,
380,1430,475,1540,,,
475,1430,570,1540,,,
570,1430,665,1540,,,
665,1430,760,1540,,,
760,1430,855,1540,,,
855,1430,950,1540,,,
950,1430,1045,1540,,,
1045,1430,1140,1540,,,
1140,1430,1235,1540,,,
