CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
amazon_walk,amazon_walk,1,0,608,1312,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,76,82
0,0,76,82,,,
76,0,152,82,,,
152,0,228,82,,,
228,0,304,82,,,
304,0,380,82,,,
380,0,456,82,,,
456,0,532,82,,,
532,0,608,82,,,
0,82,76,164,,,
76,82,152,164,,,
152,82,228,164,,,
228,82,304,164,,,
304,82,380,164,,,
380,82,456,164,,,
456,82,532,164,,,
532,82,608,164,,,
0,164,76,246,,,
76,164,152,246,,,
152,164,228,246,,,
228,164,304,246,,,
304,164,380,246,,,
380,164,456,246,,,
456,164,532,246,,,
532,164,608,246,,,
0,246,76,328,,,
76,246,152,328,,,
152,246,228,328,,,
228,246,304,328,,,
304,246,380,328,,,
380,246,456,328,,,
456,246,532,328,,,
532,246,608,328,,,
0,328,76,410,,,
76,328,152,410,,,
152,328,228,410,,,
228,328,304,410,,,
304,328,380,410,,,
380,328,456,410,,,
456,328,532,410,,,
532,328,608,410,,,
0,410,76,492,,,
76,410,152,492,,,
152,410,228,492,,,
228,410,304,492,,,
304,410,380,492,,,
380,410,456,492,,,
456,410,532,492,,,
532,410,608,492,,,
0,492,76,574,,,
76,492,152,574,,,
152,492,228,574,,,
228,492,304,574,,,
304,492,380,574,,,
380,492,456,574,,,
456,492,532,574,,,
532,492,608,574,,,
0,574,76,656,,,
76,574,152,656,,,
152,574,228,656,,,
228,574,304,656,,,
304,574,380,656,,,
380,574,456,656,,,
456,574,532,656,,,
532,574,608,656,,,
0,656,76,738,,,
76,656,152,738,,,
152,656,228,738,,,
228,656,304,738,,,
304,656,380,738,,,
380,656,456,738,,,
456,656,532,738,,,
532,656,608,738,,,
0,738,76,820,,,
76,738,152,820,,,
152,738,228,820,,,
228,738,304,820,,,
304,738,380,820,,,
380,738,456,820,,,
456,738,532,820,,,
532,738,608,820,,,
0,820,76,902,,,
76,820,152,902,,,
152,820,228,902,,,
228,820,304,902,,,
304,820,380,902,,,
380,820,456,902,,,
456,820,532,902,,,
532,820,608,902,,,
0,902,76,984,,,
76,902,152,984,,,
152,902,228,984,,,
228,902,304,984,,,
304,902,380,984,,,
380,902,456,984,,,
456,902,532,984,,,
532,902,608,984,,,
0,984,76,1066,,,
76,984,152,1066,,,
152,984,228,1066,,,
228,984,304,1066,,,
304,984,380,1066,,,
380,984,456,1066,,,
456,984,532,1066,,,
532,984,608,1066,,,
0,1066,76,1148,,,
76,1066,152,1148,,,
152,1066,228,1148,,,
228,1066,304,1148,,,
304,1066,380,1148,,,
380,1066,456,1148,,,
456,1066,532,1148,,,
532,1066,608,1148,,,
0,1148,76,1230,,,
76,1148,152,1230,,,
152,1148,228,1230,,,
228,1148,304,1230,,,
304,1148,380,1230,,,
380,1148,456,1230,,,
456,1148,532,1230,,,
532,1148,608,1230,,,
0,1230,76,1312,,,
76,1230,152,1312,,,
152,1230,228,1312,,,
228,1230,304,1312,,,
304,1230,380,1312,,,
380,1230,456,1312,,,
456,1230,532,1312,,,
532,1230,608,1312,,,
