CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
andariel_attack1,andariel_attack1,1,0,3952,1984,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,247,248
0,0,247,248,,,
247,0,494,248,,,
494,0,741,248,,,
741,0,988,248,,,
988,0,1235,248,,,
1235,0,1482,248,,,
1482,0,1729,248,,,
1729,0,1976,248,,,
1976,0,2223,248,,,
2223,0,2470,248,,,
2470,0,2717,248,,,
2717,0,2964,248,,,
2964,0,3211,248,,,
3211,0,3458,248,,,
3458,0,3705,248,,,
3705,0,3952,248,,,
0,248,247,496,,,
247,248,494,496,,,
494,248,741,496,,,
741,248,988,496,,,
988,248,1235,496,,,
1235,248,1482,496,,,
1482,248,1729,496,,,
1729,248,1976,496,,,
1976,248,2223,496,,,
2223,248,2470,496,,,
2470,248,2717,496,,,
2717,248,2964,496,,,
2964,248,3211,496,,,
3211,248,3458,496,,,
3458,248,3705,496,,,
3705,248,3952,496,,,
0,496,247,744,,,
247,496,494,744,,,
494,496,741,744,,,
741,496,988,744,,,
988,496,1235,744,,,
1235,496,1482,744,,,
1482,496,1729,744,,,
1729,496,1976,744,,,
1976,496,2223,744,,,
2223,496,2470,744,,,
2470,496,2717,744,,,
2717,496,2964,744,,,
2964,496,3211,744,,,
3211,496,3458,744,,,
3458,496,3705,744,,,
3705,496,3952,744,,,
0,744,247,992,,,
247,744,494,992,,,
494,744,741,992,,,
741,744,988,992,,,
988,744,1235,992,,,
1235,744,1482,992,,,
1482,744,1729,992,,,
1729,744,1976,992,,,
1976,744,2223,992,,,
2223,744,2470,992,,,
2470,744,2717,992,,,
2717,744,2964,992,,,
2964,744,3211,992,,,
3211,744,3458,992,,,
3458,744,3705,992,,,
3705,744,3952,992,,,
0,992,247,1240,,,
247,992,494,1240,,,
494,992,741,1240,,,
741,992,988,1240,,,
988,992,1235,1240,,,
1235,992,1482,1240,,,
1482,992,1729,1240,,,
1729,992,1976,1240,,,
1976,992,2223,1240,,,
2223,992,2470,1240,,,
2470,992,2717,1240,,,
2717,992,2964,1240,,,
2964,992,3211,1240,,,
3211,992,3458,1240,,,
3458,992,3705,1240,,,
3705,992,3952,1240,,,
0,1240,247,1488,,,
247,1240,494,1488,,,
494,1240,741,1488,,,
741,1240,988,1488,,,
988,1240,1235,1488,,,
1235,1240,1482,1488,,,
1482,1240,1729,1488,,,
1729,1240,1976,1488,,,
1976,1240,2223,1488,,,
2223,1240,2470,1488,,,
2470,1240,2717,1488,,,
2717,1240,2964,1488,,,
2964,1240,3211,1488,,,
3211,1240,3458,1488,,,
3458,1240,3705,1488,,,
3705,1240,3952,1488,,,
0,1488,247,1736,,,
247,1488,494,1736,,,
494,1488,741,1736,,,
741,1488,988,1736,,,
988,1488,1235,1736,,,
1235,1488,1482,1736,,,
1482,1488,1729,1736,,,
1729,1488,1976,1736,,,
1976,1488,2223,1736,,,
2223,1488,2470,1736,,,
2470,1488,2717,1736,,,
2717,1488,2964,1736,,,
2964,1488,3211,1736,,,
3211,1488,3458,1736,,,
3458,1488,3705,1736,,,
3705,1488,3952,1736,,,
0,1736,247,1984,,,
247,1736,494,1984,,,
494,1736,741,1984,,,
741,1736,988,1984,,,
988,1736,1235,1984,,,
1235,1736,1482,1984,,,
1482,1736,1729,1984,,,
1729,1736,1976,1984,,,
1976,1736,2223,1984,,,
2223,1736,2470,1984,,,
2470,1736,2717,1984,,,
2717,1736,2964,1984,,,
2964,1736,3211,1984,,,
3211,1736,3458,1984,,,
3458,1736,3705,1984,,,
3705,1736,3952,1984,,,
