CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
andariel_death(overlay),andariel_death(overlay),1,0,2323,1288,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,101,161
0,0,101,161,,,
101,0,202,161,,,
202,0,303,161,,,
303,0,404,161,,,
404,0,505,161,,,
505,0,606,161,,,
606,0,707,161,,,
707,0,808,161,,,
808,0,909,161,,,
909,0,1010,161,,,
1010,0,1111,161,,,
1111,0,1212,161,,,
1212,0,1313,161,,,
1313,0,1414,161,,,
1414,0,1515,161,,,
1515,0,1616,161,,,
1616,0,1717,161,,,
1717,0,1818,161,,,
1818,0,1919,161,,,
1919,0,2020,161,,,
2020,0,2121,161,,,
2121,0,2222,161,,,
2222,0,2323,161,,,
0,161,101,322,,,
101,161,202,322,,,
202,161,303,322,,,
303,161,404,322,,,
404,161,505,322,,,
505,161,606,322,,,
606,161,707,322,,,
707,161,808,322,,,
808,161,909,322,,,
909,161,1010,322,,,
1010,161,1111,322,,,
1111,161,1212,322,,,
1212,161,1313,322,,,
1313,161,1414,322,,,
1414,161,1515,322,,,
1515,161,1616,322,,,
1616,161,1717,322,,,
1717,161,1818,322,,,
1818,161,1919,322,,,
1919,161,2020,322,,,
2020,161,2121,322,,,
2121,161,2222,322,,,
2222,161,2323,322,,,
0,322,101,483,,,
101,322,202,483,,,
202,322,303,483,,,
303,322,404,483,,,
404,322,505,483,,,
505,322,606,483,,,
606,322,707,483,,,
707,322,808,483,,,
808,322,909,483,,,
909,322,1010,483,,,
1010,322,1111,483,,,
1111,322,1212,483,,,
1212,322,1313,483,,,
1313,322,1414,483,,,
1414,322,1515,483,,,
1515,322,1616,483,,,
1616,322,1717,483,,,
1717,322,1818,483,,,
1818,322,1919,483,,,
1919,322,2020,483,,,
2020,322,2121,483,,,
2121,322,2222,483,,,
2222,322,2323,483,,,
0,483,101,644,,,
101,483,202,644,,,
202,483,303,644,,,
303,483,404,644,,,
404,483,505,644,,,
505,483,606,644,,,
606,483,707,644,,,
707,483,808,644,,,
808,483,909,644,,,
909,483,1010,644,,,
1010,483,1111,644,,,
1111,483,1212,644,,,
1212,483,1313,644,,,
1313,483,1414,644,,,
1414,483,1515,644,,,
1515,483,1616,644,,,
1616,483,1717,644,,,
1717,483,1818,644,,,
1818,483,1919,644,,,
1919,483,2020,644,,,
2020,483,2121,644,,,
2121,483,2222,644,,,
2222,483,2323,644,,,
0,644,101,805,,,
101,644,202,805,,,
202,644,303,805,,,
303,644,404,805,,,
404,644,505,805,,,
505,644,606,805,,,
606,644,707,805,,,
707,644,808,805,,,
808,644,909,805,,,
909,644,1010,805,,,
1010,644,1111,805,,,
1111,644,1212,805,,,
1212,644,1313,805,,,
1313,644,1414,805,,,
1414,644,1515,805,,,
1515,644,1616,805,,,
1616,644,1717,805,,,
1717,644,1818,805,,,
1818,644,1919,805,,,
1919,644,2020,805,,,
2020,644,2121,805,,,
2121,644,2222,805,,,
2222,644,2323,805,,,
0,805,101,966,,,
101,805,202,966,,,
202,805,303,966,,,
303,805,404,966,,,
404,805,505,966,,,
505,805,606,966,,,
606,805,707,966,,,
707,805,808,966,,,
808,805,909,966,,,
909,805,1010,966,,,
1010,805,1111,966,,,
1111,805,1212,966,,,
1212,805,1313,966,,,
1313,805,1414,966,,,
1414,805,1515,966,,,
1515,805,1616,966,,,
1616,805,1717,966,,,
1717,805,1818,966,,,
1818,805,1919,966,,,
1919,805,2020,966,,,
2020,805,2121,966,,,
2121,805,2222,966,,,
2222,805,2323,966,,,
0,966,101,1127,,,
101,966,202,1127,,,
202,966,303,1127,,,
303,966,404,1127,,,
404,966,505,1127,,,
505,966,606,1127,,,
606,966,707,1127,,,
707,966,808,1127,,,
808,966,909,1127,,,
909,966,1010,1127,,,
1010,966,1111,1127,,,
1111,966,1212,1127,,,
1212,966,1313,1127,,,
1313,966,1414,1127,,,
1414,966,1515,1127,,,
1515,966,1616,1127,,,
1616,966,1717,1127,,,
1717,966,1818,1127,,,
1818,966,1919,1127,,,
1919,966,2020,1127,,,
2020,966,2121,1127,,,
2121,966,2222,1127,,,
2222,966,2323,1127,,,
0,1127,101,1288,,,
101,1127,202,1288,,,
202,1127,303,1288,,,
303,1127,404,1288,,,
404,1127,505,1288,,,
505,1127,606,1288,,,
606,1127,707,1288,,,
707,1127,808,1288,,,
808,1127,909,1288,,,
909,1127,1010,1288,,,
1010,1127,1111,1288,,,
1111,1127,1212,1288,,,
1212,1127,1313,1288,,,
1313,1127,1414,1288,,,
1414,1127,1515,1288,,,
1515,1127,1616,1288,,,
1616,1127,1717,1288,,,
1717,1127,1818,1288,,,
1818,1127,1919,1288,,,
1919,1127,2020,1288,,,
2020,1127,2121,1288,,,
2121,1127,2222,1288,,,
2222,1127,2323,1288,,,
