CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
andariel_death,andariel_death,1,1,4669,1856,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,203,232,,,
203,0,406,232,,,
406,0,609,232,,,
609,0,812,232,,,
812,0,1015,232,,,
1015,0,1218,232,,,
1218,0,1421,232,,,
1421,0,1624,232,,,
1624,0,1827,232,,,
1827,0,2030,232,,,
2030,0,2233,232,,,
2233,0,2436,232,,,
2436,0,2639,232,,,
2639,0,2842,232,,,
2842,0,3045,232,,,
3045,0,3248,232,,,
3248,0,3451,232,,,
3451,0,3654,232,,,
3654,0,3857,232,,,
3857,0,4060,232,,,
4060,0,4263,232,,,
4263,0,4466,232,,,
4466,0,4669,232,,,
0,232,203,464,,,
203,232,406,464,,,
406,232,609,464,,,
609,232,812,464,,,
812,232,1015,464,,,
1015,232,1218,464,,,
1218,232,1421,464,,,
1421,232,1624,464,,,
1624,232,1827,464,,,
1827,232,2030,464,,,
2030,232,2233,464,,,
2233,232,2436,464,,,
2436,232,2639,464,,,
2639,232,2842,464,,,
2842,232,3045,464,,,
3045,232,3248,464,,,
3248,232,3451,464,,,
3451,232,3654,464,,,
3654,232,3857,464,,,
3857,232,4060,464,,,
4060,232,4263,464,,,
4263,232,4466,464,,,
4466,232,4669,464,,,
0,464,203,696,,,
203,464,406,696,,,
406,464,609,696,,,
609,464,812,696,,,
812,464,1015,696,,,
1015,464,1218,696,,,
1218,464,1421,696,,,
1421,464,1624,696,,,
1624,464,1827,696,,,
1827,464,2030,696,,,
2030,464,2233,696,,,
2233,464,2436,696,,,
2436,464,2639,696,,,
2639,464,2842,696,,,
2842,464,3045,696,,,
3045,464,3248,696,,,
3248,464,3451,696,,,
3451,464,3654,696,,,
3654,464,3857,696,,,
3857,464,4060,696,,,
4060,464,4263,696,,,
4263,464,4466,696,,,
4466,464,4669,696,,,
0,696,203,928,,,
203,696,406,928,,,
406,696,609,928,,,
609,696,812,928,,,
812,696,1015,928,,,
1015,696,1218,928,,,
1218,696,1421,928,,,
1421,696,1624,928,,,
1624,696,1827,928,,,
1827,696,2030,928,,,
2030,696,2233,928,,,
2233,696,2436,928,,,
2436,696,2639,928,,,
2639,696,2842,928,,,
2842,696,3045,928,,,
3045,696,3248,928,,,
3248,696,3451,928,,,
3451,696,3654,928,,,
3654,696,3857,928,,,
3857,696,4060,928,,,
4060,696,4263,928,,,
4263,696,4466,928,,,
4466,696,4669,928,,,
0,928,203,1160,,,
203,928,406,1160,,,
406,928,609,1160,,,
609,928,812,1160,,,
812,928,1015,1160,,,
1015,928,1218,1160,,,
1218,928,1421,1160,,,
1421,928,1624,1160,,,
1624,928,1827,1160,,,
1827,928,2030,1160,,,
2030,928,2233,1160,,,
2233,928,2436,1160,,,
2436,928,2639,1160,,,
2639,928,2842,1160,,,
2842,928,3045,1160,,,
3045,928,3248,1160,,,
3248,928,3451,1160,,,
3451,928,3654,1160,,,
3654,928,3857,1160,,,
3857,928,4060,1160,,,
4060,928,4263,1160,,,
4263,928,4466,1160,,,
4466,928,4669,1160,,,
0,1160,203,1392,,,
203,1160,406,1392,,,
406,1160,609,1392,,,
609,1160,812,1392,,,
812,1160,1015,1392,,,
1015,1160,1218,1392,,,
1218,1160,1421,1392,,,
1421,1160,1624,1392,,,
1624,1160,1827,1392,,,
1827,1160,2030,1392,,,
2030,1160,2233,1392,,,
2233,1160,2436,1392,,,
2436,1160,2639,1392,,,
2639,1160,2842,1392,,,
2842,1160,3045,1392,,,
3045,1160,3248,1392,,,
3248,1160,3451,1392,,,
3451,1160,3654,1392,,,
3654,1160,3857,1392,,,
3857,1160,4060,1392,,,
4060,1160,4263,1392,,,
4263,1160,4466,1392,,,
4466,1160,4669,1392,,,
0,1392,203,1624,,,
203,1392,406,1624,,,
406,1392,609,1624,,,
609,1392,812,1624,,,
812,1392,1015,1624,,,
1015,1392,1218,1624,,,
1218,1392,1421,1624,,,
1421,1392,1624,1624,,,
1624,1392,1827,1624,,,
1827,1392,2030,1624,,,
2030,1392,2233,1624,,,
2233,1392,2436,1624,,,
2436,1392,2639,1624,,,
2639,1392,2842,1624,,,
2842,1392,3045,1624,,,
3045,1392,3248,1624,,,
3248,1392,3451,1624,,,
3451,1392,3654,1624,,,
3654,1392,3857,1624,,,
3857,1392,4060,1624,,,
4060,1392,4263,1624,,,
4263,1392,4466,1624,,,
4466,1392,4669,1624,,,
0,1624,203,1856,,,
203,1624,406,1856,,,
406,1624,609,1856,,,
609,1624,812,1856,,,
812,1624,1015,1856,,,
1015,1624,1218,1856,,,
1218,1624,1421,1856,,,
1421,1624,1624,1856,,,
1624,1624,1827,1856,,,
1827,1624,2030,1856,,,
2030,1624,2233,1856,,,
2233,1624,2436,1856,,,
2436,1624,2639,1856,,,
2639,1624,2842,1856,,,
2842,1624,3045,1856,,,
3045,1624,3248,1856,,,
3248,1624,3451,1856,,,
3451,1624,3654,1856,,,
3654,1624,3857,1856,,,
3857,1624,4060,1856,,,
4060,1624,4263,1856,,,
4263,1624,4466,1856,,,
4466,1624,4669,1856,,,
