CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
andariel_get_hit,andariel_get_hit,1,0,1038,1440,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,173,180
0,0,173,180,,,
173,0,346,180,,,
346,0,519,180,,,
519,0,692,180,,,
692,0,865,180,,,
865,0,1038,180,,,
0,180,173,360,,,
173,180,346,360,,,
346,180,519,360,,,
519,180,692,360,,,
692,180,865,360,,,
865,180,1038,360,,,
0,360,173,540,,,
173,360,346,540,,,
346,360,519,540,,,
519,360,692,540,,,
692,360,865,540,,,
865,360,1038,540,,,
0,540,173,720,,,
173,540,346,720,,,
346,540,519,720,,,
519,540,692,720,,,
692,540,865,720,,,
865,540,1038,720,,,
0,720,173,900,,,
173,720,346,900,,,
346,720,519,900,,,
519,720,692,900,,,
692,720,865,900,,,
865,720,1038,900,,,
0,900,173,1080,,,
173,900,346,1080,,,
346,900,519,1080,,,
519,900,692,1080,,,
692,900,865,1080,,,
865,900,1038,1080,,,
0,1080,173,1260,,,
173,1080,346,1260,,,
346,1080,519,1260,,,
519,1080,692,1260,,,
692,1080,865,1260,,,
865,1080,1038,1260,,,
0,1260,173,1440,,,
173,1260,346,1440,,,
346,1260,519,1440,,,
519,1260,692,1440,,,
692,1260,865,1440,,,
865,1260,1038,1440,,,
