CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
andariel_neutral,andariel_neutral,1,0,2848,1432,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,178,179
0,0,178,179,,,
178,0,356,179,,,
356,0,534,179,,,
534,0,712,179,,,
712,0,890,179,,,
890,0,1068,179,,,
1068,0,1246,179,,,
1246,0,1424,179,,,
1424,0,1602,179,,,
1602,0,1780,179,,,
1780,0,1958,179,,,
1958,0,2136,179,,,
2136,0,2314,179,,,
2314,0,2492,179,,,
2492,0,2670,179,,,
2670,0,2848,179,,,
0,179,178,358,,,
178,179,356,358,,,
356,179,534,358,,,
534,179,712,358,,,
712,179,890,358,,,
890,179,1068,358,,,
1068,179,1246,358,,,
1246,179,1424,358,,,
1424,179,1602,358,,,
1602,179,1780,358,,,
1780,179,1958,358,,,
1958,179,2136,358,,,
2136,179,2314,358,,,
2314,179,2492,358,,,
2492,179,2670,358,,,
2670,179,2848,358,,,
0,358,178,537,,,
178,358,356,537,,,
356,358,534,537,,,
534,358,712,537,,,
712,358,890,537,,,
890,358,1068,537,,,
1068,358,1246,537,,,
1246,358,1424,537,,,
1424,358,1602,537,,,
1602,358,1780,537,,,
1780,358,1958,537,,,
1958,358,2136,537,,,
2136,358,2314,537,,,
2314,358,2492,537,,,
2492,358,2670,537,,,
2670,358,2848,537,,,
0,537,178,716,,,
178,537,356,716,,,
356,537,534,716,,,
534,537,712,716,,,
712,537,890,716,,,
890,537,1068,716,,,
1068,537,1246,716,,,
1246,537,1424,716,,,
1424,537,1602,716,,,
1602,537,1780,716,,,
1780,537,1958,716,,,
1958,537,2136,716,,,
2136,537,2314,716,,,
2314,537,2492,716,,,
2492,537,2670,716,,,
2670,537,2848,716,,,
0,716,178,895,,,
178,716,356,895,,,
356,716,534,895,,,
534,716,712,895,,,
712,716,890,895,,,
890,716,1068,895,,,
1068,716,1246,895,,,
1246,716,1424,895,,,
1424,716,1602,895,,,
1602,716,1780,895,,,
1780,716,1958,895,,,
1958,716,2136,895,,,
2136,716,2314,895,,,
2314,716,2492,895,,,
2492,716,2670,895,,,
2670,716,2848,895,,,
0,895,178,1074,,,
178,895,356,1074,,,
356,895,534,1074,,,
534,895,712,1074,,,
712,895,890,1074,,,
890,895,1068,1074,,,
1068,895,1246,1074,,,
1246,895,1424,1074,,,
1424,895,1602,1074,,,
1602,895,1780,1074,,,
1780,895,1958,1074,,,
1958,895,2136,1074,,,
2136,895,2314,1074,,,
2314,895,2492,1074,,,
2492,895,2670,1074,,,
2670,895,2848,1074,,,
0,1074,178,1253,,,
178,1074,356,1253,,,
356,1074,534,1253,,,
534,1074,712,1253,,,
712,1074,890,1253,,,
890,1074,1068,1253,,,
1068,1074,1246,1253,,,
1246,1074,1424,1253,,,
1424,1074,1602,1253,,,
1602,1074,1780,1253,,,
1780,1074,1958,1253,,,
1958,1074,2136,1253,,,
2136,1074,2314,1253,,,
2314,1074,2492,1253,,,
2492,1074,2670,1253,,,
2670,1074,2848,1253,,,
0,1253,178,1432,,,
178,1253,356,1432,,,
356,1253,534,1432,,,
534,1253,712,1432,,,
712,1253,890,1432,,,
890,1253,1068,1432,,,
1068,1253,1246,1432,,,
1246,1253,1424,1432,,,
1424,1253,1602,1432,,,
1602,1253,1780,1432,,,
1780,1253,1958,1432,,,
1958,1253,2136,1432,,,
2136,1253,2314,1432,,,
2314,1253,2492,1432,,,
2492,1253,2670,1432,,,
2670,1253,2848,1432,,,
