CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
andariel_poisonball,andariel_poisonball,1,1,1560,65,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,65,65
0,0,65,65,,,
65,0,130,65,,,
130,0,195,65,,,
195,0,260,65,,,
260,0,325,65,,,
325,0,390,65,,,
390,0,455,65,,,
455,0,520,65,,,
520,0,585,65,,,
585,0,650,65,,,
650,0,715,65,,,
715,0,780,65,,,
780,0,845,65,,,
845,0,910,65,,,
910,0,975,65,,,
975,0,1040,65,,,
1040,0,1105,65,,,
1105,0,1170,65,,,
1170,0,1235,65,,,
1235,0,1300,65,,,
1300,0,1365,65,,,
1365,0,1430,65,,,
1430,0,1495,65,,,
1495,0,1560,65,,,
