CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
andariel_special_cast(overlay),andariel_special_cast(overlay),1,0,2916,856,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,162,107
0,0,162,107,,,
162,0,324,107,,,
324,0,486,107,,,
486,0,648,107,,,
648,0,810,107,,,
810,0,972,107,,,
972,0,1134,107,,,
1134,0,1296,107,,,
1296,0,1458,107,,,
1458,0,1620,107,,,
1620,0,1782,107,,,
1782,0,1944,107,,,
1944,0,2106,107,,,
2106,0,2268,107,,,
2268,0,2430,107,,,
2430,0,2592,107,,,
2592,0,2754,107,,,
2754,0,2916,107,,,
0,107,162,214,,,
162,107,324,214,,,
324,107,486,214,,,
486,107,648,214,,,
648,107,810,214,,,
810,107,972,214,,,
972,107,1134,214,,,
1134,107,1296,214,,,
1296,107,1458,214,,,
1458,107,1620,214,,,
1620,107,1782,214,,,
1782,107,1944,214,,,
1944,107,2106,214,,,
2106,107,2268,214,,,
2268,107,2430,214,,,
2430,107,2592,214,,,
2592,107,2754,214,,,
2754,107,2916,214,,,
0,214,162,321,,,
162,214,324,321,,,
324,214,486,321,,,
486,214,648,321,,,
648,214,810,321,,,
810,214,972,321,,,
972,214,1134,321,,,
1134,214,1296,321,,,
1296,214,1458,321,,,
1458,214,1620,321,,,
1620,214,1782,321,,,
1782,214,1944,321,,,
1944,214,2106,321,,,
2106,214,2268,321,,,
2268,214,2430,321,,,
2430,214,2592,321,,,
2592,214,2754,321,,,
2754,214,2916,321,,,
0,321,162,428,,,
162,321,324,428,,,
324,321,486,428,,,
486,321,648,428,,,
648,321,810,428,,,
810,321,972,428,,,
972,321,1134,428,,,
1134,321,1296,428,,,
1296,321,1458,428,,,
1458,321,1620,428,,,
1620,321,1782,428,,,
1782,321,1944,428,,,
1944,321,2106,428,,,
2106,321,2268,428,,,
2268,321,2430,428,,,
2430,321,2592,428,,,
2592,321,2754,428,,,
2754,321,2916,428,,,
0,428,162,535,,,
162,428,324,535,,,
324,428,486,535,,,
486,428,648,535,,,
648,428,810,535,,,
810,428,972,535,,,
972,428,1134,535,,,
1134,428,1296,535,,,
1296,428,1458,535,,,
1458,428,1620,535,,,
1620,428,1782,535,,,
1782,428,1944,535,,,
1944,428,2106,535,,,
2106,428,2268,535,,,
2268,428,2430,535,,,
2430,428,2592,535,,,
2592,428,2754,535,,,
2754,428,2916,535,,,
0,535,162,642,,,
162,535,324,642,,,
324,535,486,642,,,
486,535,648,642,,,
648,535,810,642,,,
810,535,972,642,,,
972,535,1134,642,,,
1134,535,1296,642,,,
1296,535,1458,642,,,
1458,535,1620,642,,,
1620,535,1782,642,,,
1782,535,1944,642,,,
1944,535,2106,642,,,
2106,535,2268,642,,,
2268,535,2430,642,,,
2430,535,2592,642,,,
2592,535,2754,642,,,
2754,535,2916,642,,,
0,642,162,749,,,
162,642,324,749,,,
324,642,486,749,,,
486,642,648,749,,,
648,642,810,749,,,
810,642,972,749,,,
972,642,1134,749,,,
1134,642,1296,749,,,
1296,642,1458,749,,,
1458,642,1620,749,,,
1620,642,1782,749,,,
1782,642,1944,749,,,
1944,642,2106,749,,,
2106,642,2268,749,,,
2268,642,2430,749,,,
2430,642,2592,749,,,
2592,642,2754,749,,,
2754,642,2916,749,,,
0,749,162,856,,,
162,749,324,856,,,
324,749,486,856,,,
486,749,648,856,,,
648,749,810,856,,,
810,749,972,856,,,
972,749,1134,856,,,
1134,749,1296,856,,,
1296,749,1458,856,,,
1458,749,1620,856,,,
1620,749,1782,856,,,
1782,749,1944,856,,,
1944,749,2106,856,,,
2106,749,2268,856,,,
2268,749,2430,856,,,
2430,749,2592,856,,,
2592,749,2754,856,,,
2754,749,2916,856,,,
