CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
andariel_special_cast,andariel_special_cast,1,0,3816,1456,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,212,182,,,
212,0,424,182,,,
424,0,636,182,,,
636,0,848,182,,,
848,0,1060,182,,,
1060,0,1272,182,,,
1272,0,1484,182,,,
1484,0,1696,182,,,
1696,0,1908,182,,,
1908,0,2120,182,,,
2120,0,2332,182,,,
2332,0,2544,182,,,
2544,0,2756,182,,,
2756,0,2968,182,,,
2968,0,3180,182,,,
3180,0,3392,182,,,
3392,0,3604,182,,,
3604,0,3816,182,,,
0,182,212,364,,,
212,182,424,364,,,
424,182,636,364,,,
636,182,848,364,,,
848,182,1060,364,,,
1060,182,1272,364,,,
1272,182,1484,364,,,
1484,182,1696,364,,,
1696,182,1908,364,,,
1908,182,2120,364,,,
2120,182,2332,364,,,
2332,182,2544,364,,,
2544,182,2756,364,,,
2756,182,2968,364,,,
2968,182,3180,364,,,
3180,182,3392,364,,,
3392,182,3604,364,,,
3604,182,3816,364,,,
0,364,212,546,,,
212,364,424,546,,,
424,364,636,546,,,
636,364,848,546,,,
848,364,1060,546,,,
1060,364,1272,546,,,
1272,364,1484,546,,,
1484,364,1696,546,,,
1696,364,1908,546,,,
1908,364,2120,546,,,
2120,364,2332,546,,,
2332,364,2544,546,,,
2544,364,2756,546,,,
2756,364,2968,546,,,
2968,364,3180,546,,,
3180,364,3392,546,,,
3392,364,3604,546,,,
3604,364,3816,546,,,
0,546,212,728,,,
212,546,424,728,,,
424,546,636,728,,,
636,546,848,728,,,
848,546,1060,728,,,
1060,546,1272,728,,,
1272,546,1484,728,,,
1484,546,1696,728,,,
1696,546,1908,728,,,
1908,546,2120,728,,,
2120,546,2332,728,,,
2332,546,2544,728,,,
2544,546,2756,728,,,
2756,546,2968,728,,,
2968,546,3180,728,,,
3180,546,3392,728,,,
3392,546,3604,728,,,
3604,546,3816,728,,,
0,728,212,910,,,
212,728,424,910,,,
424,728,636,910,,,
636,728,848,910,,,
848,728,1060,910,,,
1060,728,1272,910,,,
1272,728,1484,910,,,
1484,728,1696,910,,,
1696,728,1908,910,,,
1908,728,2120,910,,,
2120,728,2332,910,,,
2332,728,2544,910,,,
2544,728,2756,910,,,
2756,728,2968,910,,,
2968,728,3180,910,,,
3180,728,3392,910,,,
3392,728,3604,910,,,
3604,728,3816,910,,,
0,910,212,1092,,,
212,910,424,1092,,,
424,910,636,1092,,,
636,910,848,1092,,,
848,910,1060,1092,,,
1060,910,1272,1092,,,
1272,910,1484,1092,,,
1484,910,1696,1092,,,
1696,910,1908,1092,,,
1908,910,2120,1092,,,
2120,910,2332,1092,,,
2332,910,2544,1092,,,
2544,910,2756,1092,,,
2756,910,2968,1092,,,
2968,910,3180,1092,,,
3180,910,3392,1092,,,
3392,910,3604,1092,,,
3604,910,3816,1092,,,
0,1092,212,1274,,,
212,1092,424,1274,,,
424,1092,636,1274,,,
636,1092,848,1274,,,
848,1092,1060,1274,,,
1060,1092,1272,1274,,,
1272,1092,1484,1274,,,
1484,1092,1696,1274,,,
1696,1092,1908,1274,,,
1908,1092,2120,1274,,,
2120,1092,2332,1274,,,
2332,1092,2544,1274,,,
2544,1092,2756,1274,,,
2756,1092,2968,1274,,,
2968,1092,3180,1274,,,
3180,1092,3392,1274,,,
3392,1092,3604,1274,,,
3604,1092,3816,1274,,,
0,1274,212,1456,,,
212,1274,424,1456,,,
424,1274,636,1456,,,
636,1274,848,1456,,,
848,1274,1060,1456,,,
1060,1274,1272,1456,,,
1272,1274,1484,1456,,,
1484,1274,1696,1456,,,
1696,1274,1908,1456,,,
1908,1274,2120,1456,,,
2120,1274,2332,1456,,,
2332,1274,2544,1456,,,
2544,1274,2756,1456,,,
2756,1274,2968,1456,,,
2968,1274,3180,1456,,,
3180,1274,3392,1456,,,
3392,1274,3604,1456,,,
3604,1274,3816,1456,,,
