CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
andariel_walk,andariel_walk,1,0,1776,1472,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,148,184
0,0,148,184,,,
148,0,296,184,,,
296,0,444,184,,,
444,0,592,184,,,
592,0,740,184,,,
740,0,888,184,,,
888,0,1036,184,,,
1036,0,1184,184,,,
1184,0,1332,184,,,
1332,0,1480,184,,,
1480,0,1628,184,,,
1628,0,1776,184,,,
0,184,148,368,,,
148,184,296,368,,,
296,184,444,368,,,
444,184,592,368,,,
592,184,740,368,,,
740,184,888,368,,,
888,184,1036,368,,,
1036,184,1184,368,,,
1184,184,1332,368,,,
1332,184,1480,368,,,
1480,184,1628,368,,,
1628,184,1776,368,,,
0,368,148,552,,,
148,368,296,552,,,
296,368,444,552,,,
444,368,592,552,,,
592,368,740,552,,,
740,368,888,552,,,
888,368,1036,552,,,
1036,368,1184,552,,,
1184,368,1332,552,,,
1332,368,1480,552,,,
1480,368,1628,552,,,
1628,368,1776,552,,,
0,552,148,736,,,
148,552,296,736,,,
296,552,444,736,,,
444,552,592,736,,,
592,552,740,736,,,
740,552,888,736,,,
888,552,1036,736,,,
1036,552,1184,736,,,
1184,552,1332,736,,,
1332,552,1480,736,,,
1480,552,1628,736,,,
1628,552,1776,736,,,
0,736,148,920,,,
148,736,296,920,,,
296,736,444,920,,,
444,736,592,920,,,
592,736,740,920,,,
740,736,888,920,,,
888,736,1036,920,,,
1036,736,1184,920,,,
1184,736,1332,920,,,
1332,736,1480,920,,,
1480,736,1628,920,,,
1628,736,1776,920,,,
0,920,148,1104,,,
148,920,296,1104,,,
296,920,444,1104,,,
444,920,592,1104,,,
592,920,740,1104,,,
740,920,888,1104,,,
888,920,1036,1104,,,
1036,920,1184,1104,,,
1184,920,1332,1104,,,
1332,920,1480,1104,,,
1480,920,1628,1104,,,
1628,920,1776,1104,,,
0,1104,148,1288,,,
148,1104,296,1288,,,
296,1104,444,1288,,,
444,1104,592,1288,,,
592,1104,740,1288,,,
740,1104,888,1288,,,
888,1104,1036,1288,,,
1036,1104,1184,1288,,,
1184,1104,1332,1288,,,
1332,1104,1480,1288,,,
1480,1104,1628,1288,,,
1628,1104,1776,1288,,,
0,1288,148,1472,,,
148,1288,296,1472,,,
296,1288,444,1472,,,
444,1288,592,1472,,,
592,1288,740,1472,,,
740,1288,888,1472,,,
888,1288,1036,1472,,,
1036,1288,1184,1472,,,
1184,1288,1332,1472,,,
1332,1288,1480,1472,,,
1480,1288,1628,1472,,,
1628,1288,1776,1472,,,
