CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
cow_attack1,cow_attack1,1,0,4408,1256,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,232,157,,,
232,0,464,157,,,
464,0,696,157,,,
696,0,928,157,,,
928,0,1160,157,,,
1160,0,1392,157,,,
1392,0,1624,157,,,
1624,0,1856,157,,,
1856,0,2088,157,,,
2088,0,2320,157,,,
2320,0,2552,157,,,
2552,0,2784,157,,,
2784,0,3016,157,,,
3016,0,3248,157,,,
3248,0,3480,157,,,
3480,0,3712,157,,,
3712,0,3944,157,,,
3944,0,4176,157,,,
4176,0,4408,157,,,
0,157,232,314,,,
232,157,464,314,,,
464,157,696,314,,,
696,157,928,314,,,
928,157,1160,314,,,
1160,157,1392,314,,,
1392,157,1624,314,,,
1624,157,1856,314,,,
1856,157,2088,314,,,
2088,157,2320,314,,,
2320,157,2552,314,,,
2552,157,2784,314,,,
2784,157,3016,314,,,
3016,157,3248,314,,,
3248,157,3480,314,,,
3480,157,3712,314,,,
3712,157,3944,314,,,
3944,157,4176,314,,,
4176,157,4408,314,,,
0,314,232,471,,,
232,314,464,471,,,
464,314,696,471,,,
696,314,928,471,,,
928,314,1160,471,,,
1160,314,1392,471,,,
1392,314,1624,471,,,
1624,314,1856,471,,,
1856,314,2088,471,,,
2088,314,2320,471,,,
2320,314,2552,471,,,
2552,314,2784,471,,,
2784,314,3016,471,,,
3016,314,3248,471,,,
3248,314,3480,471,,,
3480,314,3712,471,,,
3712,314,3944,471,,,
3944,314,4176,471,,,
4176,314,4408,471,,,
0,471,232,628,,,
232,471,464,628,,,
464,471,696,628,,,
696,471,928,628,,,
928,471,1160,628,,,
1160,471,1392,628,,,
1392,471,1624,628,,,
1624,471,1856,628,,,
1856,471,2088,628,,,
2088,471,2320,628,,,
2320,471,2552,628,,,
2552,471,2784,628,,,
2784,471,3016,628,,,
3016,471,3248,628,,,
3248,471,3480,628,,,
3480,471,3712,628,,,
3712,471,3944,628,,,
3944,471,4176,628,,,
4176,471,4408,628,,,
0,628,232,785,,,
232,628,464,785,,,
464,628,696,785,,,
696,628,928,785,,,
928,628,1160,785,,,
1160,628,1392,785,,,
1392,628,1624,785,,,
1624,628,1856,785,,,
1856,628,2088,785,,,
2088,628,2320,785,,,
2320,628,2552,785,,,
2552,628,2784,785,,,
2784,628,3016,785,,,
3016,628,3248,785,,,
3248,628,3480,785,,,
3480,628,3712,785,,,
3712,628,3944,785,,,
3944,628,4176,785,,,
4176,628,4408,785,,,
0,785,232,942,,,
232,785,464,942,,,
464,785,696,942,,,
696,785,928,942,,,
928,785,1160,942,,,
1160,785,1392,942,,,
1392,785,1624,942,,,
1624,785,1856,942,,,
1856,785,2088,942,,,
2088,785,2320,942,,,
2320,785,2552,942,,,
2552,785,2784,942,,,
2784,785,3016,942,,,
3016,785,3248,942,,,
3248,785,3480,942,,,
3480,785,3712,942,,,
3712,785,3944,942,,,
3944,785,4176,942,,,
4176,785,4408,942,,,
0,942,232,1099,,,
232,942,464,1099,,,
464,942,696,1099,,,
696,942,928,1099,,,
928,942,1160,1099,,,
1160,942,1392,1099,,,
1392,942,1624,1099,,,
1624,942,1856,1099,,,
1856,942,2088,1099,,,
2088,942,2320,1099,,,
2320,942,2552,1099,,,
2552,942,2784,1099,,,
2784,942,3016,1099,,,
3016,942,3248,1099,,,
3248,942,3480,1099,,,
3480,942,3712,1099,,,
3712,942,3944,1099,,,
3944,942,4176,1099,,,
4176,942,4408,1099,,,
0,1099,232,1256,,,
232,1099,464,1256,,,
464,1099,696,1256,,,
696,1099,928,1256,,,
928,1099,1160,1256,,,
1160,1099,1392,1256,,,
1392,1099,1624,1256,,,
1624,1099,1856,1256,,,
1856,1099,2088,1256,,,
2088,1099,2320,1256,,,
2320,1099,2552,1256,,,
2552,1099,2784,1256,,,
2784,1099,3016,1256,,,
3016,1099,3248,1256,,,
3248,1099,3480,1256,,,
3480,1099,3712,1256,,,
3712,1099,3944,1256,,,
3944,1099,4176,1256,,,
4176,1099,4408,1256,,,
