CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
cow_death,cow_death,1,2,2114,1336,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,151,167,,,
151,0,302,167,,,
302,0,453,167,,,
453,0,604,167,,,
604,0,755,167,,,
755,0,906,167,,,
906,0,1057,167,,,
1057,0,1208,167,,,
1208,0,1359,167,,,
1359,0,1510,167,,,
1510,0,1661,167,,,
1661,0,1812,167,,,
1812,0,1963,167,,,
1963,0,2114,167,,,
0,167,151,334,,,
151,167,302,334,,,
302,167,453,334,,,
453,167,604,334,,,
604,167,755,334,,,
755,167,906,334,,,
906,167,1057,334,,,
1057,167,1208,334,,,
1208,167,1359,334,,,
1359,167,1510,334,,,
1510,167,1661,334,,,
1661,167,1812,334,,,
1812,167,1963,334,,,
1963,167,2114,334,,,
0,334,151,501,,,
151,334,302,501,,,
302,334,453,501,,,
453,334,604,501,,,
604,334,755,501,,,
755,334,906,501,,,
906,334,1057,501,,,
1057,334,1208,501,,,
1208,334,1359,501,,,
1359,334,1510,501,,,
1510,334,1661,501,,,
1661,334,1812,501,,,
1812,334,1963,501,,,
1963,334,2114,501,,,
0,501,151,668,,,
151,501,302,668,,,
302,501,453,668,,,
453,501,604,668,,,
604,501,755,668,,,
755,501,906,668,,,
906,501,1057,668,,,
1057,501,1208,668,,,
1208,501,1359,668,,,
1359,501,1510,668,,,
1510,501,1661,668,,,
1661,501,1812,668,,,
1812,501,1963,668,,,
1963,501,2114,668,,,
0,668,151,835,,,
151,668,302,835,,,
302,668,453,835,,,
453,668,604,835,,,
604,668,755,835,,,
755,668,906,835,,,
906,668,1057,835,,,
1057,668,1208,835,,,
1208,668,1359,835,,,
1359,668,1510,835,,,
1510,668,1661,835,,,
1661,668,1812,835,,,
1812,668,1963,835,,,
1963,668,2114,835,,,
0,835,151,1002,,,
151,835,302,1002,,,
302,835,453,1002,,,
453,835,604,1002,,,
604,835,755,1002,,,
755,835,906,1002,,,
906,835,1057,1002,,,
1057,835,1208,1002,,,
1208,835,1359,1002,,,
1359,835,1510,1002,,,
1510,835,1661,1002,,,
1661,835,1812,1002,,,
1812,835,1963,1002,,,
1963,835,2114,1002,,,
0,1002,151,1169,,,
151,1002,302,1169,,,
302,1002,453,1169,,,
453,1002,604,1169,,,
604,1002,755,1169,,,
755,1002,906,1169,,,
906,1002,1057,1169,,,
1057,1002,1208,1169,,,
1208,1002,1359,1169,,,
1359,1002,1510,1169,,,
1510,1002,1661,1169,,,
1661,1002,1812,1169,,,
1812,1002,1963,1169,,,
1963,1002,2114,1169,,,
0,1169,151,1336,,,
151,1169,302,1336,,,
302,1169,453,1336,,,
453,1169,604,1336,,,
604,1169,755,1336,,,
755,1169,906,1336,,,
906,1169,1057,1336,,,
1057,1169,1208,1336,,,
1208,1169,1359,1336,,,
1359,1169,1510,1336,,,
1510,1169,1661,1336,,,
1661,1169,1812,1336,,,
1812,1169,1963,1336,,,
1963,1169,2114,1336,,,
