CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
cow_get_hit,cow_get_hit,1,0,885,1176,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,177,147,,,
177,0,354,147,,,
354,0,531,147,,,
531,0,708,147,,,
708,0,885,147,,,
0,147,177,294,,,
177,147,354,294,,,
354,147,531,294,,,
531,147,708,294,,,
708,147,885,294,,,
0,294,177,441,,,
177,294,354,441,,,
354,294,531,441,,,
531,294,708,441,,,
708,294,885,441,,,
0,441,177,588,,,
177,441,354,588,,,
354,441,531,588,,,
531,441,708,588,,,
708,441,885,588,,,
0,588,177,735,,,
177,588,354,735,,,
354,588,531,735,,,
531,588,708,735,,,
708,588,885,735,,,
0,735,177,882,,,
177,735,354,882,,,
354,735,531,882,,,
531,735,708,882,,,
708,735,885,882,,,
0,882,177,1029,,,
177,882,354,1029,,,
354,882,531,1029,,,
531,882,708,1029,,,
708,882,885,1029,,,
0,1029,177,1176,,,
177,1029,354,1176,,,
354,1029,531,1176,,,
531,1029,708,1176,,,
708,1029,885,1176,,,
