CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
cow_neutral,cow_neutral,1,0,1410,1152,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,141,144,,,
141,0,282,144,,,
282,0,423,144,,,
423,0,564,144,,,
564,0,705,144,,,
705,0,846,144,,,
846,0,987,144,,,
987,0,1128,144,,,
1128,0,1269,144,,,
1269,0,1410,144,,,
0,144,141,288,,,
141,144,282,288,,,
282,144,423,288,,,
423,144,564,288,,,
564,144,705,288,,,
705,144,846,288,,,
846,144,987,288,,,
987,144,1128,288,,,
1128,144,1269,288,,,
1269,144,1410,288,,,
0,288,141,432,,,
141,288,282,432,,,
282,288,423,432,,,
423,288,564,432,,,
564,288,705,432,,,
705,288,846,432,,,
846,288,987,432,,,
987,288,1128,432,,,
1128,288,1269,432,,,
1269,288,1410,432,,,
0,432,141,576,,,
141,432,282,576,,,
282,432,423,576,,,
423,432,564,576,,,
564,432,705,576,,,
705,432,846,576,,,
846,432,987,576,,,
987,432,1128,576,,,
1128,432,1269,576,,,
1269,432,1410,576,,,
0,576,141,720,,,
141,576,282,720,,,
282,576,423,720,,,
423,576,564,720,,,
564,576,705,720,,,
705,576,846,720,,,
846,576,987,720,,,
987,576,1128,720,,,
1128,576,1269,720,,,
1269,576,1410,720,,,
0,720,141,864,,,
141,720,282,864,,,
282,720,423,864,,,
423,720,564,864,,,
564,720,705,864,,,
705,720,846,864,,,
846,720,987,864,,,
987,720,1128,864,,,
1128,720,1269,864,,,
1269,720,1410,864,,,
0,864,141,1008,,,
141,864,282,1008,,,
282,864,423,1008,,,
423,864,564,1008,,,
564,864,705,1008,,,
705,864,846,1008,,,
846,864,987,1008,,,
987,864,1128,1008,,,
1128,864,1269,1008,,,
1269,864,1410,1008,,,
0,1008,141,1152,,,
141,1008,282,1152,,,
282,1008,423,1152,,,
423,1008,564,1152,,,
564,1008,705,1152,,,
705,1008,846,1152,,,
846,1008,987,1152,,,
987,1008,1128,1152,,,
1128,1008,1269,1152,,,
1269,1008,1410,1152,,,
