CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
cow_walk,cow_walk,1,0,1160,1128,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,145,141,,,
145,0,290,141,,,
290,0,435,141,,,
435,0,580,141,,,
580,0,725,141,,,
725,0,870,141,,,
870,0,1015,141,,,
1015,0,1160,141,,,
0,141,145,282,,,
145,141,290,282,,,
290,141,435,282,,,
435,141,580,282,,,
580,141,725,282,,,
725,141,870,282,,,
870,141,1015,282,,,
1015,141,1160,282,,,
0,282,145,423,,,
145,282,290,423,,,
290,282,435,423,,,
435,282,580,423,,,
580,282,725,423,,,
725,282,870,423,,,
870,282,1015,423,,,
1015,282,1160,423,,,
0,423,145,564,,,
145,423,290,564,,,
290,423,435,564,,,
435,423,580,564,,,
580,423,725,564,,,
725,423,870,564,,,
870,423,1015,564,,,
1015,423,1160,564,,,
0,564,145,705,,,
145,564,290,705,,,
290,564,435,705,,,
435,564,580,705,,,
580,564,725,705,,,
725,564,870,705,,,
870,564,1015,705,,,
1015,564,1160,705,,,
0,705,145,846,,,
145,705,290,846,,,
290,705,435,846,,,
435,705,580,846,,,
580,705,725,846,,,
725,705,870,846,,,
870,705,1015,846,,,
1015,705,1160,846,,,
0,846,145,987,,,
145,846,290,987,,,
290,846,435,987,,,
435,846,580,987,,,
580,846,725,987,,,
725,846,870,987,,,
870,846,1015,987,,,
1015,846,1160,987,,,
0,987,145,1128,,,
145,987,290,1128,,,
290,987,435,1128,,,
435,987,580,1128,,,
580,987,725,1128,,,
725,987,870,1128,,,
870,987,1015,1128,,,
1015,987,1160,1128,,,
