CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
fallen_shaman_attack2(overlay),fallen_shaman_attack2(overlay),1,1,3672,1000,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,216,125
0,0,216,125,,,
216,0,432,125,,,
432,0,648,125,,,
648,0,864,125,,,
864,0,1080,125,,,
1080,0,1296,125,,,
1296,0,1512,125,,,
1512,0,1728,125,,,
1728,0,1944,125,,,
1944,0,2160,125,,,
2160,0,2376,125,,,
2376,0,2592,125,,,
2592,0,2808,125,,,
2808,0,3024,125,,,
3024,0,3240,125,,,
3240,0,3456,125,,,
3456,0,3672,125,,,
0,125,216,250,,,
216,125,432,250,,,
432,125,648,250,,,
648,125,864,250,,,
864,125,1080,250,,,
1080,125,1296,250,,,
1296,125,1512,250,,,
1512,125,1728,250,,,
1728,125,1944,250,,,
1944,125,2160,250,,,
2160,125,2376,250,,,
2376,125,2592,250,,,
2592,125,2808,250,,,
2808,125,3024,250,,,
3024,125,3240,250,,,
3240,125,3456,250,,,
3456,125,3672,250,,,
0,250,216,375,,,
216,250,432,375,,,
432,250,648,375,,,
648,250,864,375,,,
864,250,1080,375,,,
1080,250,1296,375,,,
1296,250,1512,375,,,
1512,250,1728,375,,,
1728,250,1944,375,,,
1944,250,2160,375,,,
2160,250,2376,375,,,
2376,250,2592,375,,,
2592,250,2808,375,,,
2808,250,3024,375,,,
3024,250,3240,375,,,
3240,250,3456,375,,,
3456,250,3672,375,,,
0,375,216,500,,,
216,375,432,500,,,
432,375,648,500,,,
648,375,864,500,,,
864,375,1080,500,,,
1080,375,1296,500,,,
1296,375,1512,500,,,
1512,375,1728,500,,,
1728,375,1944,500,,,
1944,375,2160,500,,,
2160,375,2376,500,,,
2376,375,2592,500,,,
2592,375,2808,500,,,
2808,375,3024,500,,,
3024,375,3240,500,,,
3240,375,3456,500,,,
3456,375,3672,500,,,
0,500,216,625,,,
216,500,432,625,,,
432,500,648,625,,,
648,500,864,625,,,
864,500,1080,625,,,
1080,500,1296,625,,,
1296,500,1512,625,,,
1512,500,1728,625,,,
1728,500,1944,625,,,
1944,500,2160,625,,,
2160,500,2376,625,,,
2376,500,2592,625,,,
2592,500,2808,625,,,
2808,500,3024,625,,,
3024,500,3240,625,,,
3240,500,3456,625,,,
3456,500,3672,625,,,
0,625,216,750,,,
216,625,432,750,,,
432,625,648,750,,,
648,625,864,750,,,
864,625,1080,750,,,
1080,625,1296,750,,,
1296,625,1512,750,,,
1512,625,1728,750,,,
1728,625,1944,750,,,
1944,625,2160,750,,,
2160,625,2376,750,,,
2376,625,2592,750,,,
2592,625,2808,750,,,
2808,625,3024,750,,,
3024,625,3240,750,,,
3240,625,3456,750,,,
3456,625,3672,750,,,
0,750,216,875,,,
216,750,432,875,,,
432,750,648,875,,,
648,750,864,875,,,
864,750,1080,875,,,
1080,750,1296,875,,,
1296,750,1512,875,,,
1512,750,1728,875,,,
1728,750,1944,875,,,
1944,750,2160,875,,,
2160,750,2376,875,,,
2376,750,2592,875,,,
2592,750,2808,875,,,
2808,750,3024,875,,,
3024,750,3240,875,,,
3240,750,3456,875,,,
3456,750,3672,875,,,
0,875,216,1000,,,
216,875,432,1000,,,
432,875,648,1000,,,
648,875,864,1000,,,
864,875,1080,1000,,,
1080,875,1296,1000,,,
1296,875,1512,1000,,,
1512,875,1728,1000,,,
1728,875,1944,1000,,,
1944,875,2160,1000,,,
2160,875,2376,1000,,,
2376,875,2592,1000,,,
2592,875,2808,1000,,,
2808,875,3024,1000,,,
3024,875,3240,1000,,,
3240,875,3456,1000,,,
3456,875,3672,1000,,,
