CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
fallen_shaman_attack2,fallen_shaman_attack2,1,2,1632,896,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,96,112,,,
96,0,192,112,,,
192,0,288,112,,,
288,0,384,112,,,
384,0,480,112,,,
480,0,576,112,,,
576,0,672,112,,,
672,0,768,112,,,
768,0,864,112,,,
864,0,960,112,,,
960,0,1056,112,,,
1056,0,1152,112,,,
1152,0,1248,112,,,
1248,0,1344,112,,,
1344,0,1440,112,,,
1440,0,1536,112,,,
1536,0,1632,112,,,
0,112,96,224,,,
96,112,192,224,,,
192,112,288,224,,,
288,112,384,224,,,
384,112,480,224,,,
480,112,576,224,,,
576,112,672,224,,,
672,112,768,224,,,
768,112,864,224,,,
864,112,960,224,,,
960,112,1056,224,,,
1056,112,1152,224,,,
1152,112,1248,224,,,
1248,112,1344,224,,,
1344,112,1440,224,,,
1440,112,1536,224,,,
1536,112,1632,224,,,
0,224,96,336,,,
96,224,192,336,,,
192,224,288,336,,,
288,224,384,336,,,
384,224,480,336,,,
480,224,576,336,,,
576,224,672,336,,,
672,224,768,336,,,
768,224,864,336,,,
864,224,960,336,,,
960,224,1056,336,,,
1056,224,1152,336,,,
1152,224,1248,336,,,
1248,224,1344,336,,,
1344,224,1440,336,,,
1440,224,1536,336,,,
1536,224,1632,336,,,
0,336,96,448,,,
96,336,192,448,,,
192,336,288,448,,,
288,336,384,448,,,
384,336,480,448,,,
480,336,576,448,,,
576,336,672,448,,,
672,336,768,448,,,
768,336,864,448,,,
864,336,960,448,,,
960,336,1056,448,,,
1056,336,1152,448,,,
1152,336,1248,448,,,
1248,336,1344,448,,,
1344,336,1440,448,,,
1440,336,1536,448,,,
1536,336,1632,448,,,
0,448,96,560,,,
96,448,192,560,,,
192,448,288,560,,,
288,448,384,560,,,
384,448,480,560,,,
480,448,576,560,,,
576,448,672,560,,,
672,448,768,560,,,
768,448,864,560,,,
864,448,960,560,,,
960,448,1056,560,,,
1056,448,1152,560,,,
1152,448,1248,560,,,
1248,448,1344,560,,,
1344,448,1440,560,,,
1440,448,1536,560,,,
1536,448,1632,560,,,
0,560,96,672,,,
96,560,192,672,,,
192,560,288,672,,,
288,560,384,672,,,
384,560,480,672,,,
480,560,576,672,,,
576,560,672,672,,,
672,560,768,672,,,
768,560,864,672,,,
864,560,960,672,,,
960,560,1056,672,,,
1056,560,1152,672,,,
1152,560,1248,672,,,
1248,560,1344,672,,,
1344,560,1440,672,,,
1440,560,1536,672,,,
1536,560,1632,672,,,
0,672,96,784,,,
96,672,192,784,,,
192,672,288,784,,,
288,672,384,784,,,
384,672,480,784,,,
480,672,576,784,,,
576,672,672,784,,,
672,672,768,784,,,
768,672,864,784,,,
864,672,960,784,,,
960,672,1056,784,,,
1056,672,1152,784,,,
1152,672,1248,784,,,
1248,672,1344,784,,,
1344,672,1440,784,,,
1440,672,1536,784,,,
1536,672,1632,784,,,
0,784,96,896,,,
96,784,192,896,,,
192,784,288,896,,,
288,784,384,896,,,
384,784,480,896,,,
480,784,576,896,,,
576,784,672,896,,,
672,784,768,896,,,
768,784,864,896,,,
864,784,960,896,,,
960,784,1056,896,,,
1056,784,1152,896,,,
1152,784,1248,896,,,
1248,784,1344,896,,,
1344,784,1440,896,,,
1440,784,1536,896,,,
1536,784,1632,896,,,
