CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
fallen_shaman_death,fallen_shaman_death,1,2,3192,936,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,152,117,,,
152,0,304,117,,,
304,0,456,117,,,
456,0,608,117,,,
608,0,760,117,,,
760,0,912,117,,,
912,0,1064,117,,,
1064,0,1216,117,,,
1216,0,1368,117,,,
1368,0,1520,117,,,
1520,0,1672,117,,,
1672,0,1824,117,,,
1824,0,1976,117,,,
1976,0,2128,117,,,
2128,0,2280,117,,,
2280,0,2432,117,,,
2432,0,2584,117,,,
2584,0,2736,117,,,
2736,0,2888,117,,,
2888,0,3040,117,,,
3040,0,3192,117,,,
0,117,152,234,,,
152,117,304,234,,,
304,117,456,234,,,
456,117,608,234,,,
608,117,760,234,,,
760,117,912,234,,,
912,117,1064,234,,,
1064,117,1216,234,,,
1216,117,1368,234,,,
1368,117,1520,234,,,
1520,117,1672,234,,,
1672,117,1824,234,,,
1824,117,1976,234,,,
1976,117,2128,234,,,
2128,117,2280,234,,,
2280,117,2432,234,,,
2432,117,2584,234,,,
2584,117,2736,234,,,
2736,117,2888,234,,,
2888,117,3040,234,,,
3040,117,3192,234,,,
0,234,152,351,,,
152,234,304,351,,,
304,234,456,351,,,
456,234,608,351,,,
608,234,760,351,,,
760,234,912,351,,,
912,234,1064,351,,,
1064,234,1216,351,,,
1216,234,1368,351,,,
1368,234,1520,351,,,
1520,234,1672,351,,,
1672,234,1824,351,,,
1824,234,1976,351,,,
1976,234,2128,351,,,
2128,234,2280,351,,,
2280,234,2432,351,,,
2432,234,2584,351,,,
2584,234,2736,351,,,
2736,234,2888,351,,,
2888,234,3040,351,,,
3040,234,3192,351,,,
0,351,152,468,,,
152,351,304,468,,,
304,351,456,468,,,
456,351,608,468,,,
608,351,760,468,,,
760,351,912,468,,,
912,351,1064,468,,,
1064,351,1216,468,,,
1216,351,1368,468,,,
1368,351,1520,468,,,
1520,351,1672,468,,,
1672,351,1824,468,,,
1824,351,1976,468,,,
1976,351,2128,468,,,
2128,351,2280,468,,,
2280,351,2432,468,,,
2432,351,2584,468,,,
2584,351,2736,468,,,
2736,351,2888,468,,,
2888,351,3040,468,,,
3040,351,3192,468,,,
0,468,152,585,,,
152,468,304,585,,,
304,468,456,585,,,
456,468,608,585,,,
608,468,760,585,,,
760,468,912,585,,,
912,468,1064,585,,,
1064,468,1216,585,,,
1216,468,1368,585,,,
1368,468,1520,585,,,
1520,468,1672,585,,,
1672,468,1824,585,,,
1824,468,1976,585,,,
1976,468,2128,585,,,
2128,468,2280,585,,,
2280,468,2432,585,,,
2432,468,2584,585,,,
2584,468,2736,585,,,
2736,468,2888,585,,,
2888,468,3040,585,,,
3040,468,3192,585,,,
0,585,152,702,,,
152,585,304,702,,,
304,585,456,702,,,
456,585,608,702,,,
608,585,760,702,,,
760,585,912,702,,,
912,585,1064,702,,,
1064,585,1216,702,,,
1216,585,1368,702,,,
1368,585,1520,702,,,
1520,585,1672,702,,,
1672,585,1824,702,,,
1824,585,1976,702,,,
1976,585,2128,702,,,
2128,585,2280,702,,,
2280,585,2432,702,,,
2432,585,2584,702,,,
2584,585,2736,702,,,
2736,585,2888,702,,,
2888,585,3040,702,,,
3040,585,3192,702,,,
0,702,152,819,,,
152,702,304,819,,,
304,702,456,819,,,
456,702,608,819,,,
608,702,760,819,,,
760,702,912,819,,,
912,702,1064,819,,,
1064,702,1216,819,,,
1216,702,1368,819,,,
1368,702,1520,819,,,
1520,702,1672,819,,,
1672,702,1824,819,,,
1824,702,1976,819,,,
1976,702,2128,819,,,
2128,702,2280,819,,,
2280,702,2432,819,,,
2432,702,2584,819,,,
2584,702,2736,819,,,
2736,702,2888,819,,,
2888,702,3040,819,,,
3040,702,3192,819,,,
0,819,152,936,,,
152,819,304,936,,,
304,819,456,936,,,
456,819,608,936,,,
608,819,760,936,,,
760,819,912,936,,,
912,819,1064,936,,,
1064,819,1216,936,,,
1216,819,1368,936,,,
1368,819,1520,936,,,
1520,819,1672,936,,,
1672,819,1824,936,,,
1824,819,1976,936,,,
1976,819,2128,936,,,
2128,819,2280,936,,,
2280,819,2432,936,,,
2432,819,2584,936,,,
2584,819,2736,936,,,
2736,819,2888,936,,,
2888,819,3040,936,,,
3040,819,3192,936,,,
