CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
fallen_shaman_fireball,fallen_shaman_fireball,1,0,339,992,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,113,62
0,0,113,62,,,
113,0,226,62,,,
226,0,339,62,,,
0,62,113,124,,,
113,62,226,124,,,
226,62,339,124,,,
0,124,113,186,,,
113,124,226,186,,,
226,124,339,186,,,
0,186,113,248,,,
113,186,226,248,,,
226,186,339,248,,,
0,248,113,310,,,
113,248,226,310,,,
226,248,339,310,,,
0,310,113,372,,,
113,310,226,372,,,
226,310,339,372,,,
0,372,113,434,,,
113,372,226,434,,,
226,372,339,434,,,
0,434,113,496,,,
113,434,226,496,,,
226,434,339,496,,,
0,496,113,558,,,
113,496,226,558,,,
226,496,339,558,,,
0,558,113,620,,,
113,558,226,620,,,
226,558,339,620,,,
0,620,113,682,,,
113,620,226,682,,,
226,620,339,682,,,
0,682,113,744,,,
113,682,226,744,,,
226,682,339,744,,,
0,744,113,806,,,
113,744,226,806,,,
226,744,339,806,,,
0,806,113,868,,,
113,806,226,868,,,
226,806,339,868,,,
0,868,113,930,,,
113,868,226,930,,,
226,868,339,930,,,
0,930,113,992,,,
113,930,226,992,,,
226,930,339,992,,,
