CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
fallen_shaman_get_hit,fallen_shaman_get_hit,1,0,535,760,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,107,95,,,
107,0,214,95,,,
214,0,321,95,,,
321,0,428,95,,,
428,0,535,95,,,
0,95,107,190,,,
107,95,214,190,,,
214,95,321,190,,,
321,95,428,190,,,
428,95,535,190,,,
0,190,107,285,,,
107,190,214,285,,,
214,190,321,285,,,
321,190,428,285,,,
428,190,535,285,,,
0,285,107,380,,,
107,285,214,380,,,
214,285,321,380,,,
321,285,428,380,,,
428,285,535,380,,,
0,380,107,475,,,
107,380,214,475,,,
214,380,321,475,,,
321,380,428,475,,,
428,380,535,475,,,
0,475,107,570,,,
107,475,214,570,,,
214,475,321,570,,,
321,475,428,570,,,
428,475,535,570,,,
0,570,107,665,,,
107,570,214,665,,,
214,570,321,665,,,
321,570,428,665,,,
428,570,535,665,,,
0,665,107,760,,,
107,665,214,760,,,
214,665,321,760,,,
321,665,428,760,,,
428,665,535,760,,,
