CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
fallen_shaman_neutral,fallen_shaman_neutral,1,0,1116,736,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,93,92,,,
93,0,186,92,,,
186,0,279,92,,,
279,0,372,92,,,
372,0,465,92,,,
465,0,558,92,,,
558,0,651,92,,,
651,0,744,92,,,
744,0,837,92,,,
837,0,930,92,,,
930,0,1023,92,,,
1023,0,1116,92,,,
0,92,93,184,,,
93,92,186,184,,,
186,92,279,184,,,
279,92,372,184,,,
372,92,465,184,,,
465,92,558,184,,,
558,92,651,184,,,
651,92,744,184,,,
744,92,837,184,,,
837,92,930,184,,,
930,92,1023,184,,,
1023,92,1116,184,,,
0,184,93,276,,,
93,184,186,276,,,
186,184,279,276,,,
279,184,372,276,,,
372,184,465,276,,,
465,184,558,276,,,
558,184,651,276,,,
651,184,744,276,,,
744,184,837,276,,,
837,184,930,276,,,
930,184,1023,276,,,
1023,184,1116,276,,,
0,276,93,368,,,
93,276,186,368,,,
186,276,279,368,,,
279,276,372,368,,,
372,276,465,368,,,
465,276,558,368,,,
558,276,651,368,,,
651,276,744,368,,,
744,276,837,368,,,
837,276,930,368,,,
930,276,1023,368,,,
1023,276,1116,368,,,
0,368,93,460,,,
93,368,186,460,,,
186,368,279,460,,,
279,368,372,460,,,
372,368,465,460,,,
465,368,558,460,,,
558,368,651,460,,,
651,368,744,460,,,
744,368,837,460,,,
837,368,930,460,,,
930,368,1023,460,,,
1023,368,1116,460,,,
0,460,93,552,,,
93,460,186,552,,,
186,460,279,552,,,
279,460,372,552,,,
372,460,465,552,,,
465,460,558,552,,,
558,460,651,552,,,
651,460,744,552,,,
744,460,837,552,,,
837,460,930,552,,,
930,460,1023,552,,,
1023,460,1116,552,,,
0,552,93,644,,,
93,552,186,644,,,
186,552,279,644,,,
279,552,372,644,,,
372,552,465,644,,,
465,552,558,644,,,
558,552,651,644,,,
651,552,744,644,,,
744,552,837,644,,,
837,552,930,644,,,
930,552,1023,644,,,
1023,552,1116,644,,,
0,644,93,736,,,
93,644,186,736,,,
186,644,279,736,,,
279,644,372,736,,,
372,644,465,736,,,
465,644,558,736,,,
558,644,651,736,,,
651,644,744,736,,,
744,644,837,736,,,
837,644,930,736,,,
930,644,1023,736,,,
1023,644,1116,736,,,
