CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
fallen_shaman_walk,fallen_shaman_walk,1,0,1722,888,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,123,111
0,0,123,111,,,
123,0,246,111,,,
246,0,369,111,,,
369,0,492,111,,,
492,0,615,111,,,
615,0,738,111,,,
738,0,861,111,,,
861,0,984,111,,,
984,0,1107,111,,,
1107,0,1230,111,,,
1230,0,1353,111,,,
1353,0,1476,111,,,
1476,0,1599,111,,,
1599,0,1722,111,,,
0,111,123,222,,,
123,111,246,222,,,
246,111,369,222,,,
369,111,492,222,,,
492,111,615,222,,,
615,111,738,222,,,
738,111,861,222,,,
861,111,984,222,,,
984,111,1107,222,,,
1107,111,1230,222,,,
1230,111,1353,222,,,
1353,111,1476,222,,,
1476,111,1599,222,,,
1599,111,1722,222,,,
0,222,123,333,,,
123,222,246,333,,,
246,222,369,333,,,
369,222,492,333,,,
492,222,615,333,,,
615,222,738,333,,,
738,222,861,333,,,
861,222,984,333,,,
984,222,1107,333,,,
1107,222,1230,333,,,
1230,222,1353,333,,,
1353,222,1476,333,,,
1476,222,1599,333,,,
1599,222,1722,333,,,
0,333,123,444,,,
123,333,246,444,,,
246,333,369,444,,,
369,333,492,444,,,
492,333,615,444,,,
615,333,738,444,,,
738,333,861,444,,,
861,333,984,444,,,
984,333,1107,444,,,
1107,333,1230,444,,,
1230,333,1353,444,,,
1353,333,1476,444,,,
1476,333,1599,444,,,
1599,333,1722,444,,,
0,444,123,555,,,
123,444,246,555,,,
246,444,369,555,,,
369,444,492,555,,,
492,444,615,555,,,
615,444,738,555,,,
738,444,861,555,,,
861,444,984,555,,,
984,444,1107,555,,,
1107,444,1230,555,,,
1230,444,1353,555,,,
1353,444,1476,555,,,
1476,444,1599,555,,,
1599,444,1722,555,,,
0,555,123,666,,,
123,555,246,666,,,
246,555,369,666,,,
369,555,492,666,,,
492,555,615,666,,,
615,555,738,666,,,
738,555,861,666,,,
861,555,984,666,,,
984,555,1107,666,,,
1107,555,1230,666,,,
1230,555,1353,666,,,
1353,555,1476,666,,,
1476,555,1599,666,,,
1599,555,1722,666,,,
0,666,123,777,,,
123,666,246,777,,,
246,666,369,777,,,
369,666,492,777,,,
492,666,615,777,,,
615,666,738,777,,,
738,666,861,777,,,
861,666,984,777,,,
984,666,1107,777,,,
1107,666,1230,777,,,
1230,666,1353,777,,,
1353,666,1476,777,,,
1476,666,1599,777,,,
1599,666,1722,777,,,
0,777,123,888,,,
123,777,246,888,,,
246,777,369,888,,,
369,777,492,888,,,
492,777,615,888,,,
615,777,738,888,,,
738,777,861,888,,,
861,777,984,888,,,
984,777,1107,888,,,
1107,777,1230,888,,,
1230,777,1353,888,,,
1353,777,1476,888,,,
1476,777,1599,888,,,
1599,777,1722,888,,,
