CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
frost_nova,frost_nova,1,1,1652,1104,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,118,69
0,0,118,69,,,
118,0,236,69,,,
236,0,354,69,,,
354,0,472,69,,,
472,0,590,69,,,
590,0,708,69,,,
708,0,826,69,,,
826,0,944,69,,,
944,0,1062,69,,,
1062,0,1180,69,,,
1180,0,1298,69,,,
1298,0,1416,69,,,
1416,0,1534,69,,,
1534,0,1652,69,,,
0,69,118,138,,,
118,69,236,138,,,
236,69,354,138,,,
354,69,472,138,,,
472,69,590,138,,,
590,69,708,138,,,
708,69,826,138,,,
826,69,944,138,,,
944,69,1062,138,,,
1062,69,1180,138,,,
1180,69,1298,138,,,
1298,69,1416,138,,,
1416,69,1534,138,,,
1534,69,1652,138,,,
0,138,118,207,,,
118,138,236,207,,,
236,138,354,207,,,
354,138,472,207,,,
472,138,590,207,,,
590,138,708,207,,,
708,138,826,207,,,
826,138,944,207,,,
944,138,1062,207,,,
1062,138,1180,207,,,
1180,138,1298,207,,,
1298,138,1416,207,,,
1416,138,1534,207,,,
1534,138,1652,207,,,
0,207,118,276,,,
118,207,236,276,,,
236,207,354,276,,,
354,207,472,276,,,
472,207,590,276,,,
590,207,708,276,,,
708,207,826,276,,,
826,207,944,276,,,
944,207,1062,276,,,
1062,207,1180,276,,,
1180,207,1298,276,,,
1298,207,1416,276,,,
1416,207,1534,276,,,
1534,207,1652,276,,,
0,276,118,345,,,
118,276,236,345,,,
236,276,354,345,,,
354,276,472,345,,,
472,276,590,345,,,
590,276,708,345,,,
708,276,826,345,,,
826,276,944,345,,,
944,276,1062,345,,,
1062,276,1180,345,,,
1180,276,1298,345,,,
1298,276,1416,345,,,
1416,276,1534,345,,,
1534,276,1652,345,,,
0,345,118,414,,,
118,345,236,414,,,
236,345,354,414,,,
354,345,472,414,,,
472,345,590,414,,,
590,345,708,414,,,
708,345,826,414,,,
826,345,944,414,,,
944,345,1062,414,,,
1062,345,1180,414,,,
1180,345,1298,414,,,
1298,345,1416,414,,,
1416,345,1534,414,,,
1534,345,1652,414,,,
0,414,118,483,,,
118,414,236,483,,,
236,414,354,483,,,
354,414,472,483,,,
472,414,590,483,,,
590,414,708,483,,,
708,414,826,483,,,
826,414,944,483,,,
944,414,1062,483,,,
1062,414,1180,483,,,
1180,414,1298,483,,,
1298,414,1416,483,,,
1416,414,1534,483,,,
1534,414,1652,483,,,
0,483,118,552,,,
118,483,236,552,,,
236,483,354,552,,,
354,483,472,552,,,
472,483,590,552,,,
590,483,708,552,,,
708,483,826,552,,,
826,483,944,552,,,
944,483,1062,552,,,
1062,483,1180,552,,,
1180,483,1298,552,,,
1298,483,1416,552,,,
1416,483,1534,552,,,
1534,483,1652,552,,,
0,552,118,621,,,
118,552,236,621,,,
236,552,354,621,,,
354,552,472,621,,,
472,552,590,621,,,
590,552,708,621,,,
708,552,826,621,,,
826,552,944,621,,,
944,552,1062,621,,,
1062,552,1180,621,,,
1180,552,1298,621,,,
1298,552,1416,621,,,
1416,552,1534,621,,,
1534,552,1652,621,,,
0,621,118,690,,,
118,621,236,690,,,
236,621,354,690,,,
354,621,472,690,,,
472,621,590,690,,,
590,621,708,690,,,
708,621,826,690,,,
826,621,944,690,,,
944,621,1062,690,,,
1062,621,1180,690,,,
1180,621,1298,690,,,
1298,621,1416,690,,,
1416,621,1534,690,,,
1534,621,1652,690,,,
0,690,118,759,,,
118,690,236,759,,,
236,690,354,759,,,
354,690,472,759,,,
472,690,590,759,,,
590,690,708,759,,,
708,690,826,759,,,
826,690,944,759,,,
944,690,1062,759,,,
1062,690,1180,759,,,
1180,690,1298,759,,,
1298,690,1416,759,,,
1416,690,1534,759,,,
1534,690,1652,759,,,
0,759,118,828,,,
118,759,236,828,,,
236,759,354,828,,,
354,759,472,828,,,
472,759,590,828,,,
590,759,708,828,,,
708,759,826,828,,,
826,759,944,828,,,
944,759,1062,828,,,
1062,759,1180,828,,,
1180,759,1298,828,,,
1298,759,1416,828,,,
1416,759,1534,828,,,
1534,759,1652,828,,,
0,828,118,897,,,
118,828,236,897,,,
236,828,354,897,,,
354,828,472,897,,,
472,828,590,897,,,
590,828,708,897,,,
708,828,826,897,,,
826,828,944,897,,,
944,828,1062,897,,,
1062,828,1180,897,,,
1180,828,1298,897,,,
1298,828,1416,897,,,
1416,828,1534,897,,,
1534,828,1652,897,,,
0,897,118,966,,,
118,897,236,966,,,
236,897,354,966,,,
354,897,472,966,,,
472,897,590,966,,,
590,897,708,966,,,
708,897,826,966,,,
826,897,944,966,,,
944,897,1062,966,,,
1062,897,1180,966,,,
1180,897,1298,966,,,
1298,897,1416,966,,,
1416,897,1534,966,,,
1534,897,1652,966,,,
0,966,118,1035,,,
118,966,236,1035,,,
236,966,354,1035,,,
354,966,472,1035,,,
472,966,590,1035,,,
590,966,708,1035,,,
708,966,826,1035,,,
826,966,944,1035,,,
944,966,1062,1035,,,
1062,966,1180,1035,,,
1180,966,1298,1035,,,
1298,966,1416,1035,,,
1416,966,1534,1035,,,
1534,966,1652,1035,,,
0,1035,118,1104,,,
118,1035,236,1104,,,
236,1035,354,1104,,,
354,1035,472,1104,,,
472,1035,590,1104,,,
590,1035,708,1104,,,
708,1035,826,1104,,,
826,1035,944,1104,,,
944,1035,1062,1104,,,
1062,1035,1180,1104,,,
1180,1035,1298,1104,,,
1298,1035,1416,1104,,,
1416,1035,1534,1104,,,
1534,1035,1652,1104,,,
