CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
frozen_armor,frozen_armor,1,0,576,366,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,72,122
0,0,72,122,,,
72,0,144,122,,,
144,0,216,122,,,
216,0,288,122,,,
288,0,360,122,,,
360,0,432,122,,,
432,0,504,122,,,
504,0,576,122,,,
0,122,72,244,,,
72,122,144,244,,,
144,122,216,244,,,
216,122,288,244,,,
288,122,360,244,,,
360,122,432,244,,,
432,122,504,244,,,
504,122,576,244,,,
0,244,72,366,,,
72,244,144,366,,,
144,244,216,366,,,
216,244,288,366,,,
288,244,360,366,,,
360,244,432,366,,,
432,244,504,366,,,
504,244,576,366,,,
