CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
ice_blast,ice_blast,1,0,845,1504,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,169,94
0,0,169,94,,,
169,0,338,94,,,
338,0,507,94,,,
507,0,676,94,,,
676,0,845,94,,,
0,94,169,188,,,
169,94,338,188,,,
338,94,507,188,,,
507,94,676,188,,,
676,94,845,188,,,
0,188,169,282,,,
169,188,338,282,,,
338,188,507,282,,,
507,188,676,282,,,
676,188,845,282,,,
0,282,169,376,,,
169,282,338,376,,,
338,282,507,376,,,
507,282,676,376,,,
676,282,845,376,,,
0,376,169,470,,,
169,376,338,470,,,
338,376,507,470,,,
507,376,676,470,,,
676,376,845,470,,,
0,470,169,564,,,
169,470,338,564,,,
338,470,507,564,,,
507,470,676,564,,,
676,470,845,564,,,
0,564,169,658,,,
169,564,338,658,,,
338,564,507,658,,,
507,564,676,658,,,
676,564,845,658,,,
0,658,169,752,,,
169,658,338,752,,,
338,658,507,752,,,
507,658,676,752,,,
676,658,845,752,,,
0,752,169,846,,,
169,752,338,846,,,
338,752,507,846,,,
507,752,676,846,,,
676,752,845,846,,,
0,846,169,940,,,
169,846,338,940,,,
338,846,507,940,,,
507,846,676,940,,,
676,846,845,940,,,
0,940,169,1034,,,
169,940,338,1034,,,
338,940,507,1034,,,
507,940,676,1034,,,
676,940,845,1034,,,
0,1034,169,1128,,,
169,1034,338,1128,,,
338,1034,507,1128,,,
507,1034,676,1128,,,
676,1034,845,1128,,,
0,1128,169,1222,,,
169,1128,338,1222,,,
338,1128,507,1222,,,
507,1128,676,1222,,,
676,1128,845,1222,,,
0,1222,169,1316,,,
169,1222,338,1316,,,
338,1222,507,1316,,,
507,1222,676,1316,,,
676,1222,845,1316,,,
0,1316,169,1410,,,
169,1316,338,1410,,,
338,1316,507,1410,,,
507,1316,676,1410,,,
676,1316,845,1410,,,
0,1410,169,1504,,,
169,1410,338,1504,,,
338,1410,507,1504,,,
507,1410,676,1504,,,
676,1410,845,1504,,,
