CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
ice_bolt,ice_bolt,1,0,552,880,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,92,55
0,0,92,55,,,
92,0,184,55,,,
184,0,276,55,,,
276,0,368,55,,,
368,0,460,55,,,
460,0,552,55,,,
0,55,92,110,,,
92,55,184,110,,,
184,55,276,110,,,
276,55,368,110,,,
368,55,460,110,,,
460,55,552,110,,,
0,110,92,165,,,
92,110,184,165,,,
184,110,276,165,,,
276,110,368,165,,,
368,110,460,165,,,
460,110,552,165,,,
0,165,92,220,,,
92,165,184,220,,,
184,165,276,220,,,
276,165,368,220,,,
368,165,460,220,,,
460,165,552,220,,,
0,220,92,275,,,
92,220,184,275,,,
184,220,276,275,,,
276,220,368,275,,,
368,220,460,275,,,
460,220,552,275,,,
0,275,92,330,,,
92,275,184,330,,,
184,275,276,330,,,
276,275,368,330,,,
368,275,460,330,,,
460,275,552,330,,,
0,330,92,385,,,
92,330,184,385,,,
184,330,276,385,,,
276,330,368,385,,,
368,330,460,385,,,
460,330,552,385,,,
0,385,92,440,,,
92,385,184,440,,,
184,385,276,440,,,
276,385,368,440,,,
368,385,460,440,,,
460,385,552,440,,,
0,440,92,495,,,
92,440,184,495,,,
184,440,276,495,,,
276,440,368,495,,,
368,440,460,495,,,
460,440,552,495,,,
0,495,92,550,,,
92,495,184,550,,,
184,495,276,550,,,
276,495,368,550,,,
368,495,460,550,,,
460,495,552,550,,,
0,550,92,605,,,
92,550,184,605,,,
184,550,276,605,,,
276,550,368,605,,,
368,550,460,605,,,
460,550,552,605,,,
0,605,92,660,,,
92,605,184,660,,,
184,605,276,660,,,
276,605,368,660,,,
368,605,460,660,,,
460,605,552,660,,,
0,660,92,715,,,
92,660,184,715,,,
184,660,276,715,,,
276,660,368,715,,,
368,660,460,715,,,
460,660,552,715,,,
0,715,92,770,,,
92,715,184,770,,,
184,715,276,770,,,
276,715,368,770,,,
368,715,460,770,,,
460,715,552,770,,,
0,770,92,825,,,
92,770,184,825,,,
184,770,276,825,,,
276,770,368,825,,,
368,770,460,825,,,
460,770,552,825,,,
0,825,92,880,,,
92,825,184,880,,,
184,825,276,880,,,
276,825,368,880,,,
368,825,460,880,,,
460,825,552,880,,,
