CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
ice_orb_explosion,ice_orb_explosion,1,1,1840,573,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,230,191
0,0,230,191,,,
230,0,460,191,,,
460,0,690,191,,,
690,0,920,191,,,
920,0,1150,191,,,
1150,0,1380,191,,,
1380,0,1610,191,,,
1610,0,1840,191,,,
0,191,230,382,,,
230,191,460,382,,,
460,191,690,382,,,
690,191,920,382,,,
920,191,1150,382,,,
1150,191,1380,382,,,
1380,191,1610,382,,,
1610,191,1840,382,,,
0,382,230,573,,,
230,382,460,573,,,
460,382,690,573,,,
690,382,920,573,,,
920,382,1150,573,,,
1150,382,1380,573,,,
1380,382,1610,573,,,
1610,382,1840,573,,,
