CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
sorceress_attack1,sorceress_attack1,1,0,2500,1264,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,125,79
0,0,125,79,,,
125,0,250,79,,,
250,0,375,79,,,
375,0,500,79,,,
500,0,625,79,,,
625,0,750,79,,,
750,0,875,79,,,
875,0,1000,79,,,
1000,0,1125,79,,,
1125,0,1250,79,,,
1250,0,1375,79,,,
1375,0,1500,79,,,
1500,0,1625,79,,,
1625,0,1750,79,,,
1750,0,1875,79,,,
1875,0,2000,79,,,
2000,0,2125,79,,,
2125,0,2250,79,,,
2250,0,2375,79,,,
2375,0,2500,79,,,
0,79,125,158,,,
125,79,250,158,,,
250,79,375,158,,,
375,79,500,158,,,
500,79,625,158,,,
625,79,750,158,,,
750,79,875,158,,,
875,79,1000,158,,,
1000,79,1125,158,,,
1125,79,1250,158,,,
1250,79,1375,158,,,
1375,79,1500,158,,,
1500,79,1625,158,,,
1625,79,1750,158,,,
1750,79,1875,158,,,
1875,79,2000,158,,,
2000,79,2125,158,,,
2125,79,2250,158,,,
2250,79,2375,158,,,
2375,79,2500,158,,,
0,158,125,237,,,
125,158,250,237,,,
250,158,375,237,,,
375,158,500,237,,,
500,158,625,237,,,
625,158,750,237,,,
750,158,875,237,,,
875,158,1000,237,,,
1000,158,1125,237,,,
1125,158,1250,237,,,
1250,158,1375,237,,,
1375,158,1500,237,,,
1500,158,1625,237,,,
1625,158,1750,237,,,
1750,158,1875,237,,,
1875,158,2000,237,,,
2000,158,2125,237,,,
2125,158,2250,237,,,
2250,158,2375,237,,,
2375,158,2500,237,,,
0,237,125,316,,,
125,237,250,316,,,
250,237,375,316,,,
375,237,500,316,,,
500,237,625,316,,,
625,237,750,316,,,
750,237,875,316,,,
875,237,1000,316,,,
1000,237,1125,316,,,
1125,237,1250,316,,,
1250,237,1375,316,,,
1375,237,1500,316,,,
1500,237,1625,316,,,
1625,237,1750,316,,,
1750,237,1875,316,,,
1875,237,2000,316,,,
2000,237,2125,316,,,
2125,237,2250,316,,,
2250,237,2375,316,,,
2375,237,2500,316,,,
0,316,125,395,,,
125,316,250,395,,,
