CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
sorceress_get_hit,sorceress_get_hit,1,2,528,1168,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,66,73
0,0,66,73,,,
66,0,132,73,,,
132,0,198,73,,,
198,0,264,73,,,
264,0,330,73,,,
330,0,396,73,,,
396,0,462,73,,,
462,0,528,73,,,
0,73,66,146,,,
66,73,132,146,,,
132,73,198,146,,,
198,73,264,146,,,
264,73,330,146,,,
330,73,396,146,,,
396,73,462,146,,,
462,73,528,146,,,
0,146,66,219,,,
66,146,132,219,,,
132,146,198,219,,,
198,146,264,219,,,
264,146,330,219,,,
330,146,396,219,,,
396,146,462,219,,,
462,146,528,219,,,
0,219,66,292,,,
66,219,132,292,,,
132,219,198,292,,,
198,219,264,292,,,
264,219,330,292,,,
330,219,396,292,,,
396,219,462,292,,,
462,219,528,292,,,
0,292,66,365,,,
66,292,132,365,,,
132,292,198,365,,,
198,292,264,365,,,
264,292,330,365,,,
330,292,396,365,,,
396,292,462,365,,,
462,292,528,365,,,
0,365,66,438,,,
66,365,132,438,,,
132,365,198,438,,,
198,365,264,438,,,
264,365,330,438,,,
330,365,396,438,,,
396,365,462,438,,,
462,365,528,438,,,
0,438,66,511,,,
66,438,132,511,,,
132,438,198,511,,,
198,438,264,511,,,
264,438,330,511,,,
330,438,396,511,,,
396,438,462,511,,,
462,438,528,511,,,
0,511,66,584,,,
66,511,132,584,,,
132,511,198,584,,,
198,511,264,584,,,
264,511,330,584,,,
330,511,396,584,,,
396,511,462,584,,,
462,511,528,584,,,
0,584,66,657,,,
66,584,132,657,,,
132,584,198,657,,,
198,584,264,657,,,
264,584,330,657,,,
330,584,396,657,,,
396,584,462,657,,,
462,584,528,657,,,
0,657,66,730,,,
66,657,132,730,,,
132,657,198,730,,,
198,657,264,730,,,
264,657,330,730,,,
330,657,396,730,,,
396,657,462,730,,,
462,657,528,730,,,
0,730,66,803,,,
66,730,132,803,,,
132,730,198,803,,,
198,730,264,803,,,
264,730,330,803,,,
330,730,396,803,,,
396,730,462,803,,,
462,730,528,803,,,
0,803,66,876,,,
66,803,132,876,,,
132,803,198,876,,,
198,803,264,876,,,
264,803,330,876,,,
330,803,396,876,,,
396,803,462,876,,,
462,803,528,876,,,
0,876,66,949,,,
66,876,132,949,,,
132,876,198,949,,,
198,876,264,949,,,
264,876,330,949,,,
330,876,396,949,,,
396,876,462,949,,,
462,876,528,949,,,
0,949,66,1022,,,
66,949,132,1022,,,
132,949,198,1022,,,
198,949,264,1022,,,
264,949,330,1022,,,
330,949,396,1022,,,
396,949,462,1022,,,
462,949,528,1022,,,
0,1022,66,1095,,,
66,1022,132,1095,,,
132,1022,198,1095,,,
198,1022,264,1095,,,
264,1022,330,1095,,,
330,1022,396,1095,,,
396,1022,462,1095,,,
462,1022,528,1095,,,
0,1095,66,1168,,,
66,1095,132,1168,,,
132,1095,198,1168,,,
198,1095,264,1168,,,
264,1095,330,1168,,,
330,1095,396,1168,,,
396,1095,462,1168,,,
462,1095,528,1168,,,
