CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
sorceress_neutral,sorceress_neutral,1,0,672,1168,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,42,73
0,0,42,73,,,
42,0,84,73,,,
84,0,126,73,,,
126,0,168,73,,,
168,0,210,73,,,
210,0,252,73,,,
252,0,294,73,,,
294,0,336,73,,,
336,0,378,73,,,
378,0,420,73,,,
420,0,462,73,,,
462,0,504,73,,,
504,0,546,73,,,
546,0,588,73,,,
588,0,630,73,,,
630,0,672,73,,,
0,73,42,146,,,
42,73,84,146,,,
84,73,126,146,,,
126,73,168,146,,,
168,73,210,146,,,
210,73,252,146,,,
252,73,294,146,,,
294,73,336,146,,,
336,73,378,146,,,
378,73,420,146,,,
420,73,462,146,,,
462,73,504,146,,,
504,73,546,146,,,
546,73,588,146,,,
588,73,630,146,,,
630,73,672,146,,,
0,146,42,219,,,
42,146,84,219,,,
84,146,126,219,,,
126,146,168,219,,,
168,146,210,219,,,
210,146,252,219,,,
252,146,294,219,,,
294,146,336,219,,,
336,146,378,219,,,
378,146,420,219,,,
420,146,462,219,,,
462,146,504,219,,,
504,146,546,219,,,
546,146,588,219,,,
588,146,630,219,,,
630,146,672,219,,,
0,219,42,292,,,
42,219,84,292,,,
84,219,126,292,,,
126,219,168,292,,,
168,219,210,292,,,
210,219,252,292,,,
252,219,294,292,,,
294,219,336,292,,,
336,219,378,292,,,
378,219,420,292,,,
420,219,462,292,,,
462,219,504,292,,,
504,219,546,292,,,
546,219,588,292,,,
588,219,630,292,,,
630,219,672,292,,,
0,292,42,365,,,
42,292,84,365,,,
84,292,126,365,,,
126,292,168,365,,,
168,292,210,365,,,
210,292,252,365,,,
252,292,294,365,,,
294,292,336,365,,,
336,292,378,365,,,
378,292,420,365,,,
420,292,462,365,,,
462,292,504,365,,,
504,292,546,365,,,
546,292,588,365,,,
588,292,630,365,,,
630,292,672,365,,,
0,365,42,438,,,
42,365,84,438,,,
84,365,126,438,,,
126,365,168,438,,,
168,365,210,438,,,
210,365,252,438,,,
252,365,294,438,,,
294,365,336,438,,,
336,365,378,438,,,
378,365,420,438,,,
420,365,462,438,,,
462,365,504,438,,,
504,365,546,438,,,
546,365,588,438,,,
588,365,630,438,,,
630,365,672,438,,,
0,438,42,511,,,
42,438,84,511,,,
84,438,126,511,,,
126,438,168,511,,,
168,438,210,511,,,
210,438,252,511,,,
252,438,294,511,,,
294,438,336,511,,,
336,438,378,511,,,
378,438,420,511,,,
420,438,462,511,,,
462,438,504,511,,,
504,438,546,511,,,
546,438,588,511,,,
588,438,630,511,,,
630,438,672,511,,,
0,511,42,584,,,
42,511,84,584,,,
84,511,126,584,,,
126,511,168,584,,,
168,511,210,584,,,
210,511,252,584,,,
252,511,294,584,,,
294,511,336,584,,,
336,511,378,584,,,
378,511,420,584,,,
420,511,462,584,,,
462,511,504,584,,,
504,511,546,584,,,
546,511,588,584,,,
588,511,630,584,,,
630,511,672,584,,,
0,584,42,657,,,
42,584,84,657,,,
84,584,126,657,,,
126,584,168,657,,,
168,584,210,657,,,
210,584,252,657,,,
252,584,294,657,,,
294,584,336,657,,,
336,584,378,657,,,
378,584,420,657,,,
420,584,462,657,,,
462,584,504,657,,,
504,584,546,657,,,
546,584,588,657,,,
588,584,630,657,,,
630,584,672,657,,,
0,657,42,730,,,
42,657,84,730,,,
84,657,126,730,,,
126,657,168,730,,,
168,657,210,730,,,
210,657,252,730,,,
252,657,294,730,,,
294,657,336,730,,,
336,657,378,730,,,
378,657,420,730,,,
420,657,462,730,,,
462,657,504,730,,,
504,657,546,730,,,
546,657,588,730,,,
588,657,630,730,,,
630,657,672,730,,,
0,730,42,803,,,
42,730,84,803,,,
84,730,126,803,,,
126,730,168,803,,,
168,730,210,803,,,
210,730,252,803,,,
252,730,294,803,,,
294,730,336,803,,,
336,730,378,803,,,
378,730,420,803,,,
420,730,462,803,,,
462,730,504,803,,,
504,730,546,803,,,
546,730,588,803,,,
588,730,630,803,,,
630,730,672,803,,,
0,803,42,876,,,
42,803,84,876,,,
84,803,126,876,,,
126,803,168,876,,,
168,803,210,876,,,
210,803,252,876,,,
252,803,294,876,,,
294,803,336,876,,,
336,803,378,876,,,
378,803,420,876,,,
420,803,462,876,,,
462,803,504,876,,,
504,803,546,876,,,
546,803,588,876,,,
588,803,630,876,,,
630,803,672,876,,,
0,876,42,949,,,
42,876,84,949,,,
84,876,126,949,,,
126,876,168,949,,,
168,876,210,949,,,
210,876,252,949,,,
252,876,294,949,,,
294,876,336,949,,,
336,876,378,949,,,
378,876,420,949,,,
420,876,462,949,,,
462,876,504,949,,,
504,876,546,949,,,
546,876,588,949,,,
588,876,630,949,,,
630,876,672,949,,,
0,949,42,1022,,,
42,949,84,1022,,,
84,949,126,1022,,,
126,949,168,1022,,,
168,949,210,1022,,,
210,949,252,1022,,,
252,949,294,1022,,,
294,949,336,1022,,,
336,949,378,1022,,,
378,949,420,1022,,,
420,949,462,1022,,,
462,949,504,1022,,,
504,949,546,1022,,,
546,949,588,1022,,,
588,949,630,1022,,,
630,949,672,1022,,,
0,1022,42,1095,,,
42,1022,84,1095,,,
84,1022,126,1095,,,
126,1022,168,1095,,,
168,1022,210,1095,,,
210,1022,252,1095,,,
252,1022,294,1095,,,
294,1022,336,1095,,,
336,1022,378,1095,,,
378,1022,420,1095,,,
420,1022,462,1095,,,
462,1022,504,1095,,,
504,1022,546,1095,,,
546,1022,588,1095,,,
588,1022,630,1095,,,
630,1022,672,1095,,,
0,1095,42,1168,,,
42,1095,84,1168,,,
84,1095,126,1168,,,
126,1095,168,1168,,,
168,1095,210,1168,,,
210,1095,252,1168,,,
252,1095,294,1168,,,
294,1095,336,1168,,,
336,1095,378,1168,,,
378,1095,420,1168,,,
420,1095,462,1168,,,
462,1095,504,1168,,,
504,1095,546,1168,,,
546,1095,588,1168,,,
588,1095,630,1168,,,
630,1095,672,1168,,,
