CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
sorceress_run,sorceress_run,1,0,488,1216,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,61,76
0,0,61,76,,,
61,0,122,76,,,
122,0,183,76,,,
183,0,244,76,,,
244,0,305,76,,,
305,0,366,76,,,
366,0,427,76,,,
427,0,488,76,,,
0,76,61,152,,,
61,76,122,152,,,
122,76,183,152,,,
183,76,244,152,,,
244,76,305,152,,,
305,76,366,152,,,
366,76,427,152,,,
427,76,488,152,,,
0,152,61,228,,,
61,152,122,228,,,
122,152,183,228,,,
183,152,244,228,,,
244,152,305,228,,,
305,152,366,228,,,
366,152,427,228,,,
427,152,488,228,,,
0,228,61,304,,,
61,228,122,304,,,
122,228,183,304,,,
183,228,244,304,,,
244,228,305,304,,,
305,228,366,304,,,
366,228,427,304,,,
427,228,488,304,,,
0,304,61,380,,,
61,304,122,380,,,
122,304,183,380,,,
183,304,244,380,,,
244,304,305,380,,,
305,304,366,380,,,
366,304,427,380,,,
427,304,488,380,,,
0,380,61,456,,,
61,380,122,456,,,
122,380,183,456,,,
183,380,244,456,,,
244,380,305,456,,,
305,380,366,456,,,
366,380,427,456,,,
427,380,488,456,,,
0,456,61,532,,,
61,456,122,532,,,
122,456,183,532,,,
183,456,244,532,,,
244,456,305,532,,,
305,456,366,532,,,
366,456,427,532,,,
427,456,488,532,,,
0,532,61,608,,,
61,532,122,608,,,
122,532,183,608,,,
183,532,244,608,,,
244,532,305,608,,,
305,532,366,608,,,
366,532,427,608,,,
427,532,488,608,,,
0,608,61,684,,,
61,608,122,684,,,
122,608,183,684,,,
183,608,244,684,,,
244,608,305,684,,,
305,608,366,684,,,
366,608,427,684,,,
427,608,488,684,,,
0,684,61,760,,,
61,684,122,760,,,
122,684,183,760,,,
183,684,244,760,,,
244,684,305,760,,,
305,684,366,760,,,
366,684,427,760,,,
427,684,488,760,,,
0,760,61,836,,,
61,760,122,836,,,
122,760,183,836,,,
183,760,244,836,,,
244,760,305,836,,,
305,760,366,836,,,
366,760,427,836,,,
427,760,488,836,,,
0,836,61,912,,,
61,836,122,912,,,
122,836,183,912,,,
183,836,244,912,,,
244,836,305,912,,,
305,836,366,912,,,
366,836,427,912,,,
427,836,488,912,,,
0,912,61,988,,,
61,912,122,988,,,
122,912,183,988,,,
183,912,244,988,,,
244,912,305,988,,,
305,912,366,988,,,
366,912,427,988,,,
427,912,488,988,,,
0,988,61,1064,,,
61,988,122,1064,,,
122,988,183,1064,,,
183,988,244,1064,,,
244,988,305,1064,,,
305,988,366,1064,,,
366,988,427,1064,,,
427,988,488,1064,,,
0,1064,61,1140,,,
61,1064,122,1140,,,
122,1064,183,1140,,,
183,1064,244,1140,,,
244,1064,305,1140,,,
305,1064,366,1140,,,
366,1064,427,1140,,,
427,1064,488,1140,,,
0,1140,61,1216,,,
61,1140,122,1216,,,
122,1140,183,1216,,,
183,1140,244,1216,,,
244,1140,305,1216,,,
305,1140,366,1216,,,
366,1140,427,1216,,,
427,1140,488,1216,,,
