CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
sorceress_special1,sorceress_special1,1,0,1246,1472,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,89,92
0,0,89,92,,,
89,0,178,92,,,
178,0,267,92,,,
267,0,356,92,,,
356,0,445,92,,,
445,0,534,92,,,
534,0,623,92,,,
623,0,712,92,,,
712,0,801,92,,,
801,0,890,92,,,
890,0,979,92,,,
979,0,1068,92,,,
1068,0,1157,92,,,
1157,0,1246,92,,,
0,92,89,184,,,
89,92,178,184,,,
178,92,267,184,,,
267,92,356,184,,,
356,92,445,184,,,
445,92,534,184,,,
534,92,623,184,,,
623,92,712,184,,,
712,92,801,184,,,
801,92,890,184,,,
890,92,979,184,,,
979,92,1068,184,,,
1068,92,1157,184,,,
1157,92,1246,184,,,
0,184,89,276,,,
89,184,178,276,,,
178,184,267,276,,,
267,184,356,276,,,
356,184,445,276,,,
445,184,534,276,,,
534,184,623,276,,,
623,184,712,276,,,
712,184,801,276,,,
801,184,890,276,,,
890,184,979,276,,,
979,184,1068,276,,,
1068,184,1157,276,,,
1157,184,1246,276,,,
0,276,89,368,,,
89,276,178,368,,,
178,276,267,368,,,
267,276,356,368,,,
356,276,445,368,,,
445,276,534,368,,,
534,276,623,368,,,
623,276,712,368,,,
712,276,801,368,,,
801,276,890,368,,,
890,276,979,368,,,
979,276,1068,368,,,
1068,276,1157,368,,,
1157,276,1246,368,,,
0,368,89,460,,,
89,368,178,460,,,
178,368,267,460,,,
267,368,356,460,,,
356,368,445,460,,,
445,368,534,460,,,
534,368,623,460,,,
623,368,712,460,,,
712,368,801,460,,,
801,368,890,460,,,
890,368,979,460,,,
979,368,1068,460,,,
1068,368,1157,460,,,
1157,368,1246,460,,,
0,460,89,552,,,
89,460,178,552,,,
178,460,267,552,,,
267,460,356,552,,,
356,460,445,552,,,
445,460,534,552,,,
534,460,623,552,,,
623,460,712,552,,,
712,460,801,552,,,
801,460,890,552,,,
890,460,979,552,,,
979,460,1068,552,,,
1068,460,1157,552,,,
1157,460,1246,552,,,
0,552,89,644,,,
89,552,178,644,,,
178,552,267,644,,,
267,552,356,644,,,
356,552,445,644,,,
445,552,534,644,,,
534,552,623,644,,,
623,552,712,644,,,
712,552,801,644,,,
801,552,890,644,,,
890,552,979,644,,,
979,552,1068,644,,,
1068,552,1157,644,,,
1157,552,1246,644,,,
0,644,89,736,,,
89,644,178,736,,,
178,644,267,736,,,
267,644,356,736,,,
356,644,445,736,,,
445,644,534,736,,,
534,644,623,736,,,
623,644,712,736,,,
712,644,801,736,,,
801,644,890,736,,,
890,644,979,736,,,
979,644,1068,736,,,
1068,644,1157,736,,,
1157,644,1246,736,,,
0,736,89,828,,,
89,736,178,828,,,
178,736,267,828,,,
267,736,356,828,,,
356,736,445,828,,,
445,736,534,828,,,
534,736,623,828,,,
623,736,712,828,,,
712,736,801,828,,,
801,736,890,828,,,
890,736,979,828,,,
979,736,1068,828,,,
1068,736,1157,828,,,
1157,736,1246,828,,,
0,828,89,920,,,
89,828,178,920,,,
178,828,267,920,,,
267,828,356,920,,,
356,828,445,920,,,
445,828,534,920,,,
534,828,623,920,,,
623,828,712,920,,,
712,828,801,920,,,
801,828,890,920,,,
890,828,979,920,,,
979,828,1068,920,,,
1068,828,1157,920,,,
1157,828,1246,920,,,
0,920,89,1012,,,
89,920,178,1012,,,
178,920,267,1012,,,
267,920,356,1012,,,
356,920,445,1012,,,
445,920,534,1012,,,
534,920,623,1012,,,
623,920,712,1012,,,
712,920,801,1012,,,
801,920,890,1012,,,
890,920,979,1012,,,
979,920,1068,1012,,,
1068,920,1157,1012,,,
1157,920,1246,1012,,,
0,1012,89,1104,,,
89,1012,178,1104,,,
178,1012,267,1104,,,
