CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
sorceress_special_cast,sorceress_special_cast,1,0,1358,1472,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,97,92
0,0,97,92,,,
97,0,194,92,,,
194,0,291,92,,,
291,0,388,92,,,
388,0,485,92,,,
485,0,582,92,,,
582,0,679,92,,,
679,0,776,92,,,
776,0,873,92,,,
873,0,970,92,,,
970,0,1067,92,,,
1067,0,1164,92,,,
1164,0,1261,92,,,
1261,0,1358,92,,,
0,92,97,184,,,
97,92,194,184,,,
194,92,291,184,,,
291,92,388,184,,,
388,92,485,184,,,
485,92,582,184,,,
582,92,679,184,,,
679,92,776,184,,,
776,92,873,184,,,
873,92,970,184,,,
970,92,1067,184,,,
1067,92,1164,184,,,
1164,92,1261,184,,,
1261,92,1358,184,,,
0,184,97,276,,,
97,184,194,276,,,
194,184,291,276,,,
291,184,388,276,,,
388,184,485,276,,,
485,184,582,276,,,
582,184,679,276,,,
679,184,776,276,,,
776,184,873,276,,,
873,184,970,276,,,
970,184,1067,276,,,
1067,184,1164,276,,,
1164,184,1261,276,,,
1261,184,1358,276,,,
0,276,97,368,,,
97,276,194,368,,,
194,276,291,368,,,
291,276,388,368,,,
388,276,485,368,,,
485,276,582,368,,,
582,276,679,368,,,
679,276,776,368,,,
776,276,873,368,,,
873,276,970,368,,,
970,276,1067,368,,,
1067,276,1164,368,,,
1164,276,1261,368,,,
1261,276,1358,368,,,
0,368,97,460,,,
97,368,194,460,,,
194,368,291,460,,,
291,368,388,460,,,
388,368,485,460,,,
485,368,582,460,,,
582,368,679,460,,,
679,368,776,460,,,
776,368,873,460,,,
873,368,970,460,,,
970,368,1067,460,,,
1067,368,1164,460,,,
1164,368,1261,460,,,
1261,368,1358,460,,,
0,460,97,552,,,
97,460,194,552,,,
194,460,291,552,,,
291,460,388,552,,,
388,460,485,552,,,
485,460,582,552,,,
582,460,679,552,,,
679,460,776,552,,,
776,460,873,552,,,
873,460,970,552,,,
970,460,1067,552,,,
1067,460,1164,552,,,
1164,460,1261,552,,,
1261,460,1358,552,,,
0,552,97,644,,,
97,552,194,644,,,
194,552,291,644,,,
291,552,388,644,,,
388,552,485,644,,,
485,552,582,644,,,
582,552,679,644,,,
679,552,776,644,,,
776,552,873,644,,,
873,552,970,644,,,
970,552,1067,644,,,
1067,552,1164,644,,,
1164,552,1261,644,,,
1261,552,1358,644,,,
0,644,97,736,,,
97,644,194,736,,,
194,644,291,736,,,
291,644,388,736,,,
388,644,485,736,,,
485,644,582,736,,,
582,644,679,736,,,
679,644,776,736,,,
776,644,873,736,,,
873,644,970,736,,,
970,644,1067,736,,,
1067,644,1164,736,,,
1164,644,1261,736,,,
1261,644,1358,736,,,
0,736,97,828,,,
97,736,194,828,,,
194,736,291,828,,,
291,736,388,828,,,
388,736,485,828,,,
485,736,582,828,,,
582,736,679,828,,,
679,736,776,828,,,
776,736,873,828,,,
873,736,970,828,,,
970,736,1067,828,,,
1067,736,1164,828,,,
1164,736,1261,828,,,
1261,736,1358,828,,,
0,828,97,920,,,
97,828,194,920,,,
194,828,291,920,,,
291,828,388,920,,,
388,828,485,920,,,
485,828,582,920,,,
582,828,679,920,,,
679,828,776,920,,,
776,828,873,920,,,
873,828,970,920,,,
970,828,1067,920,,,
1067,828,1164,920,,,
1164,828,1261,920,,,
1261,828,1358,920,,,
0,920,97,1012,,,
97,920,194,1012,,,
194,920,291,1012,,,
291,920,388,1012,,,
388,920,485,1012,,,
485,920,582,1012,,,
582,920,679,1012,,,
679,920,776,1012,,,
776,920,873,1012,,,
873,920,970,1012,,,
970,920,1067,1012,,,
1067,920,1164,1012,,,
1164,920,1261,1012,,,
1261,920,1358,1012,,,
0,1012,97,1104,,,
97,1012,194,1104,,,
194,1012,291,1104,,,
291,1012,388,1104,,,
388,1012,485,1104,,,
485,1012,582,1104,,,
582,1012,679,1104,,,
679,1012,776,1104,,,
776,1012,873,1104,,,
873,1012,970,1104,,,
970,1012,1067,1104,,,
1067,1012,1164,1104,,,
1164,1012,1261,1104,,,
1261,1012,1358,1104,,,
0,1104,97,1196,,,
97,1104,194,1196,,,
194,1104,291,1196,,,
291,1104,388,1196,,,
388,1104,485,1196,,,
485,1104,582,1196,,,
582,1104,679,1196,,,
679,1104,776,1196,,,
776,1104,873,1196,,,
873,1104,970,1196,,,
970,1104,1067,1196,,,
1067,1104,1164,1196,,,
1164,1104,1261,1196,,,
1261,1104,1358,1196,,,
0,1196,97,1288,,,
97,1196,194,1288,,,
194,1196,291,1288,,,
291,1196,388,1288,,,
388,1196,485,1288,,,
485,1196,582,1288,,,
582,1196,679,1288,,,
679,1196,776,1288,,,
776,1196,873,1288,,,
873,1196,970,1288,,,
970,1196,1067,1288,,,
1067,1196,1164,1288,,,
1164,1196,1261,1288,,,
1261,1196,1358,1288,,,
0,1288,97,1380,,,
97,1288,194,1380,,,
194,1288,291,1380,,,
291,1288,388,1380,,,
388,1288,485,1380,,,
485,1288,582,1380,,,
582,1288,679,1380,,,
679,1288,776,1380,,,
776,1288,873,1380,,,
873,1288,970,1380,,,
970,1288,1067,1380,,,
1067,1288,1164,1380,,,
1164,1288,1261,1380,,,
1261,1288,1358,1380,,,
0,1380,97,1472,,,
97,1380,194,1472,,,
194,1380,291,1472,,,
291,1380,388,1472,,,
388,1380,485,1472,,,
485,1380,582,1472,,,
582,1380,679,1472,,,
679,1380,776,1472,,,
776,1380,873,1472,,,
873,1380,970,1472,,,
970,1380,1067,1472,,,
1067,1380,1164,1472,,,
1164,1380,1261,1472,,,
1261,1380,1358,1472,,,
