CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
sorceress_walk,sorceress_walk,1,0,384,1200,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,48,75
0,0,48,75,,,
48,0,96,75,,,
96,0,144,75,,,
144,0,192,75,,,
192,0,240,75,,,
240,0,288,75,,,
288,0,336,75,,,
336,0,384,75,,,
0,75,48,150,,,
48,75,96,150,,,
96,75,144,150,,,
144,75,192,150,,,
192,75,240,150,,,
240,75,288,150,,,
288,75,336,150,,,
336,75,384,150,,,
0,150,48,225,,,
48,150,96,225,,,
96,150,144,225,,,
144,150,192,225,,,
192,150,240,225,,,
240,150,288,225,,,
288,150,336,225,,,
336,150,384,225,,,
0,225,48,300,,,
48,225,96,300,,,
96,225,144,300,,,
144,225,192,300,,,
192,225,240,300,,,
240,225,288,300,,,
288,225,336,300,,,
336,225,384,300,,,
0,300,48,375,,,
48,300,96,375,,,
96,300,144,375,,,
144,300,192,375,,,
192,300,240,375,,,
240,300,288,375,,,
288,300,336,375,,,
336,300,384,375,,,
0,375,48,450,,,
48,375,96,450,,,
96,375,144,450,,,
144,375,192,450,,,
192,375,240,450,,,
240,375,288,450,,,
288,375,336,450,,,
336,375,384,450,,,
0,450,48,525,,,
48,450,96,525,,,
96,450,144,525,,,
144,450,192,525,,,
192,450,240,525,,,
240,450,288,525,,,
288,450,336,525,,,
336,450,384,525,,,
0,525,48,600,,,
48,525,96,600,,,
96,525,144,600,,,
144,525,192,600,,,
192,525,240,600,,,
240,525,288,600,,,
288,525,336,600,,,
336,525,384,600,,,
0,600,48,675,,,
48,600,96,675,,,
96,600,144,675,,,
144,600,192,675,,,
192,600,240,675,,,
240,600,288,675,,,
288,600,336,675,,,
336,600,384,675,,,
0,675,48,750,,,
48,675,96,750,,,
96,675,144,750,,,
144,675,192,750,,,
192,675,240,750,,,
240,675,288,750,,,
288,675,336,750,,,
336,675,384,750,,,
0,750,48,825,,,
48,750,96,825,,,
96,750,144,825,,,
144,750,192,825,,,
192,750,240,825,,,
240,750,288,825,,,
288,750,336,825,,,
336,750,384,825,,,
0,825,48,900,,,
48,825,96,900,,,
96,825,144,900,,,
144,825,192,900,,,
192,825,240,900,,,
240,825,288,900,,,
288,825,336,900,,,
336,825,384,900,,,
0,900,48,975,,,
48,900,96,975,,,
96,900,144,975,,,
144,900,192,975,,,
192,900,240,975,,,
240,900,288,975,,,
288,900,336,975,,,
336,900,384,975,,,
0,975,48,1050,,,
48,975,96,1050,,,
96,975,144,1050,,,
144,975,192,1050,,,
192,975,240,1050,,,
240,975,288,1050,,,
288,975,336,1050,,,
336,975,384,1050,,,
0,1050,48,1125,,,
48,1050,96,1125,,,
96,1050,144,1125,,,
144,1050,192,1125,,,
192,1050,240,1125,,,
240,1050,288,1125,,,
288,1050,336,1125,,,
336,1050,384,1125,,,
0,1125,48,1200,,,
48,1125,96,1200,,,
96,1125,144,1200,,,
144,1125,192,1200,,,
192,1125,240,1200,,,
240,1125,288,1200,,,
288,1125,336,1200,,,
336,1125,384,1200,,,
