CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
teleport,teleport,1,1,1088,462,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,136,154
0,0,136,154,,,
136,0,272,154,,,
272,0,408,154,,,
408,0,544,154,,,
544,0,680,154,,,
680,0,816,154,,,
816,0,952,154,,,
952,0,1088,154,,,
0,154,136,308,,,
136,154,272,308,,,
272,154,408,308,,,
408,154,544,308,,,
544,154,680,308,,,
680,154,816,308,,,
816,154,952,308,,,
952,154,1088,308,,,
0,308,136,462,,,
136,308,272,462,,,
272,308,408,462,,,
408,308,544,462,,,
544,308,680,462,,,
680,308,816,462,,,
816,308,952,462,,,
952,308,1088,462,,,
