CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
wendigo_attack2,wendigo_attack2,1,0,2052,1064,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,171,133,,,
171,0,342,133,,,
342,0,513,133,,,
513,0,684,133,,,
684,0,855,133,,,
855,0,1026,133,,,
1026,0,1197,133,,,
1197,0,1368,133,,,
1368,0,1539,133,,,
1539,0,1710,133,,,
1710,0,1881,133,,,
1881,0,2052,133,,,
0,133,171,266,,,
171,133,342,266,,,
342,133,513,266,,,
513,133,684,266,,,
684,133,855,266,,,
855,133,1026,266,,,
1026,133,1197,266,,,
1197,133,1368,266,,,
1368,133,1539,266,,,
1539,133,1710,266,,,
1710,133,1881,266,,,
1881,133,2052,266,,,
0,266,171,399,,,
171,266,342,399,,,
342,266,513,399,,,
513,266,684,399,,,
684,266,855,399,,,
855,266,1026,399,,,
1026,266,1197,399,,,
1197,266,1368,399,,,
1368,266,1539,399,,,
1539,266,1710,399,,,
1710,266,1881,399,,,
1881,266,2052,399,,,
0,399,171,532,,,
171,399,342,532,,,
342,399,513,532,,,
513,399,684,532,,,
684,399,855,532,,,
855,399,1026,532,,,
1026,399,1197,532,,,
1197,399,1368,532,,,
1368,399,1539,532,,,
1539,399,1710,532,,,
1710,399,1881,532,,,
1881,399,2052,532,,,
0,532,171,665,,,
171,532,342,665,,,
342,532,513,665,,,
513,532,684,665,,,
684,532,855,665,,,
855,532,1026,665,,,
1026,532,1197,665,,,
1197,532,1368,665,,,
1368,532,1539,665,,,
1539,532,1710,665,,,
1710,532,1881,665,,,
1881,532,2052,665,,,
0,665,171,798,,,
171,665,342,798,,,
342,665,513,798,,,
513,665,684,798,,,
684,665,855,798,,,
855,665,1026,798,,,
1026,665,1197,798,,,
1197,665,1368,798,,,
1368,665,1539,798,,,
1539,665,1710,798,,,
1710,665,1881,798,,,
1881,665,2052,798,,,
0,798,171,931,,,
171,798,342,931,,,
342,798,513,931,,,
513,798,684,931,,,
684,798,855,931,,,
855,798,1026,931,,,
1026,798,1197,931,,,
1197,798,1368,931,,,
1368,798,1539,931,,,
1539,798,1710,931,,,
1710,798,1881,931,,,
1881,798,2052,931,,,
0,931,171,1064,,,
171,931,342,1064,,,
342,931,513,1064,,,
513,931,684,1064,,,
684,931,855,1064,,,
855,931,1026,1064,,,
1026,931,1197,1064,,,
1197,931,1368,1064,,,
1368,931,1539,1064,,,
1539,931,1710,1064,,,
1710,931,1881,1064,,,
1881,931,2052,1064,,,
