CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
wendigo_death,wendigo_death,1,0,3600,1240,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,200,155
0,0,200,155,,,
200,0,400,155,,,
400,0,600,155,,,
600,0,800,155,,,
800,0,1000,155,,,
1000,0,1200,155,,,
1200,0,1400,155,,,
1400,0,1600,155,,,
1600,0,1800,155,,,
1800,0,2000,155,,,
2000,0,2200,155,,,
2200,0,2400,155,,,
2400,0,2600,155,,,
2600,0,2800,155,,,
2800,0,3000,155,,,
3000,0,3200,155,,,
3200,0,3400,155,,,
3400,0,3600,155,,,
0,155,200,310,,,
200,155,400,310,,,
400,155,600,310,,,
600,155,800,310,,,
800,155,1000,310,,,
1000,155,1200,310,,,
1200,155,1400,310,,,
1400,155,1600,310,,,
1600,155,1800,310,,,
1800,155,2000,310,,,
2000,155,2200,310,,,
2200,155,2400,310,,,
2400,155,2600,310,,,
2600,155,2800,310,,,
2800,155,3000,310,,,
3000,155,3200,310,,,
3200,155,3400,310,,,
3400,155,3600,310,,,
0,310,200,465,,,
200,310,400,465,,,
400,310,600,465,,,
600,310,800,465,,,
800,310,1000,465,,,
1000,310,1200,465,,,
1200,310,1400,465,,,
1400,310,1600,465,,,
1600,310,1800,465,,,
1800,310,2000,465,,,
2000,310,2200,465,,,
2200,310,2400,465,,,
2400,310,2600,465,,,
2600,310,2800,465,,,
2800,310,3000,465,,,
3000,310,3200,465,,,
3200,310,3400,465,,,
3400,310,3600,465,,,
0,465,200,620,,,
200,465,400,620,,,
400,465,600,620,,,
600,465,800,620,,,
800,465,1000,620,,,
1000,465,1200,620,,,
1200,465,1400,620,,,
1400,465,1600,620,,,
1600,465,1800,620,,,
1800,465,2000,620,,,
2000,465,2200,620,,,
2200,465,2400,620,,,
2400,465,2600,620,,,
2600,465,2800,620,,,
2800,465,3000,620,,,
3000,465,3200,620,,,
3200,465,3400,620,,,
3400,465,3600,620,,,
0,620,200,775,,,
200,620,400,775,,,
400,620,600,775,,,
600,620,800,775,,,
800,620,1000,775,,,
1000,620,1200,775,,,
1200,620,1400,775,,,
1400,620,1600,775,,,
1600,620,1800,775,,,
1800,620,2000,775,,,
2000,620,2200,775,,,
2200,620,2400,775,,,
2400,620,2600,775,,,
2600,620,2800,775,,,
2800,620,3000,775,,,
3000,620,3200,775,,,
3200,620,3400,775,,,
3400,620,3600,775,,,
0,775,200,930,,,
200,775,400,930,,,
400,775,600,930,,,
600,775,800,930,,,
800,775,1000,930,,,
1000,775,1200,930,,,
1200,775,1400,930,,,
1400,775,1600,930,,,
1600,775,1800,930,,,
1800,775,2000,930,,,
2000,775,2200,930,,,
2200,775,2400,930,,,
2400,775,2600,930,,,
2600,775,2800,930,,,
2800,775,3000,930,,,
3000,775,3200,930,,,
3200,775,3400,930,,,
3400,775,3600,930,,,
0,930,200,1085,,,
200,930,400,1085,,,
400,930,600,1085,,,
600,930,800,1085,,,
800,930,1000,1085,,,
1000,930,1200,1085,,,
1200,930,1400,1085,,,
1400,930,1600,1085,,,
1600,930,1800,1085,,,
1800,930,2000,1085,,,
2000,930,2200,1085,,,
2200,930,2400,1085,,,
2400,930,2600,1085,,,
2600,930,2800,1085,,,
2800,930,3000,1085,,,
3000,930,3200,1085,,,
3200,930,3400,1085,,,
3400,930,3600,1085,,,
0,1085,200,1240,,,
200,1085,400,1240,,,
400,1085,600,1240,,,
600,1085,800,1240,,,
800,1085,1000,1240,,,
1000,1085,1200,1240,,,
1200,1085,1400,1240,,,
1400,1085,1600,1240,,,
1600,1085,1800,1240,,,
1800,1085,2000,1240,,,
2000,1085,2200,1240,,,
2200,1085,2400,1240,,,
2400,1085,2600,1240,,,
2600,1085,2800,1240,,,
2800,1085,3000,1240,,,
3000,1085,3200,1240,,,
3200,1085,3400,1240,,,
3400,1085,3600,1240,,,
