CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
wendigo_get_hit,wendigo_get_hit,1,2,918,1008,0.5
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,153,126
0,0,153,126,,,
153,0,306,126,,,
306,0,459,126,,,
459,0,612,126,,,
612,0,765,126,,,
765,0,918,126,,,
0,126,153,252,,,
153,126,306,252,,,
306,126,459,252,,,
459,126,612,252,,,
612,126,765,252,,,
765,126,918,252,,,
0,252,153,378,,,
153,252,306,378,,,
306,252,459,378,,,
459,252,612,378,,,
612,252,765,378,,,
765,252,918,378,,,
0,378,153,504,,,
153,378,306,504,,,
306,378,459,504,,,
459,378,612,504,,,
612,378,765,504,,,
765,378,918,504,,,
0,504,153,630,,,
153,504,306,630,,,
306,504,459,630,,,
459,504,612,630,,,
612,504,765,630,,,
765,504,918,630,,,
0,630,153,756,,,
153,630,306,756,,,
306,630,459,756,,,
459,630,612,756,,,
612,630,765,756,,,
765,630,918,756,,,
0,756,153,882,,,
153,756,306,882,,,
306,756,459,882,,,
459,756,612,882,,,
612,756,765,882,,,
765,756,918,882,,,
0,882,153,1008,,,
153,882,306,1008,,,
306,882,459,1008,,,
459,882,612,1008,,,
612,882,765,1008,,,
765,882,918,1008,,,
