CLIP,TEXTURE,TYPE,OPTION,WIDTH,HEIGHT,TIME
wendigo_neutral,wendigo_neutral,1,0,760,904,2
,,,,,,
LEFT,TOP,RIGHT,BOTTOM,,,
0,0,95,113,,,
95,0,190,113,,,
190,0,285,113,,,
285,0,380,113,,,
380,0,475,113,,,
475,0,570,113,,,
570,0,665,113,,,
665,0,760,113,,,
0,113,95,226,,,
95,113,190,226,,,
190,113,285,226,,,
285,113,380,226,,,
380,113,475,226,,,
475,113,570,226,,,
570,113,665,226,,,
665,113,760,226,,,
0,226,95,339,,,
95,226,190,339,,,
190,226,285,339,,,
285,226,380,339,,,
380,226,475,339,,,
475,226,570,339,,,
570,226,665,339,,,
665,226,760,339,,,
0,339,95,452,,,
95,339,190,452,,,
190,339,285,452,,,
285,339,380,452,,,
380,339,475,452,,,
475,339,570,452,,,
570,339,665,452,,,
665,339,760,452,,,
0,452,95,565,,,
95,452,190,565,,,
190,452,285,565,,,
285,452,380,565,,,
380,452,475,565,,,
475,452,570,565,,,
570,452,665,565,,,
665,452,760,565,,,
0,565,95,678,,,
95,565,190,678,,,
190,565,285,678,,,
285,565,380,678,,,
380,565,475,678,,,
475,565,570,678,,,
570,565,665,678,,,
665,565,760,678,,,
0,678,95,791,,,
95,678,190,791,,,
190,678,285,791,,,
285,678,380,791,,,
380,678,475,791,,,
475,678,570,791,,,
570,678,665,791,,,
665,678,760,791,,,
0,791,95,904,,,
95,791,190,904,,,
190,791,285,904,,,
285,791,380,904,,,
380,791,475,904,,,
475,791,570,904,,,
570,791,665,904,,,
665,791,760,904,,,
